Accession	Description	Sum PEP Score	# Unique Peptides	temp37.0_concYOU	temp40.6_concYOU	temp43.7_concYOU	temp47.5_concYOU	temp51.2_concYOU	temp54.5_concYOU	temp57.9_concYOU	temp61.5_concYOU	temp64.0_concYOU	temp67.0_concYOU	temp67.0_concSEN	temp64.0_concSEN	temp61.5_concSEN	temp57.9_concSEN	temp54.5_concSEN	temp51.2_concSEN	temp47.5_concSEN	temp43.7_concSEN	temp40.6_concSEN	 temp37.0_concSEN
P06733	Alpha-enolase OS=Homo sapiens OX=9606 GN=ENO1 PE=1 SV=2	822.643	48	153.8	154	153	148.9	127.2	117	82.5	44.5	13.7	5.4	5.7	12.1	38.6	74.2	123.8	139.8	142	164.3	150.5	149
P14618	Pyruvate kinase PKM OS=Homo sapiens OX=9606 GN=PKM PE=1 SV=4	795.143	54	190.9	185.1	179.6	145	119.3	96.6	62.6	11	6.4	3.5	3.9	4.6	8.8	53.6	105.4	124.5	143.5	200.6	173.9	181.2
P11021	Endoplasmic reticulum chaperone BiP OS=Homo sapiens OX=9606 GN=HSPA5 PE=1 SV=2	784.579	58	175.6	174.9	161.5	161.3	113.7	86.2	54.1	39.7	21.2	11.9	8.5	13.2	24.3	48.2	110.2	131.7	150.9	192.9	155.2	165
P78527	DNA-dependent protein kinase catalytic subunit OS=Homo sapiens OX=9606 GN=PRKDC PE=1 SV=3	756.679	108	277.1	267.1	214	124.5	44.5	27.4	16.9	12.3	9.3	7.1	5.6	6	9.1	13.3	26.4	39.8	120.8	271.6	275.4	231.8
P55072	Transitional endoplasmic reticulum ATPase OS=Homo sapiens OX=9606 GN=VCP PE=1 SV=4	754.103	63	126.2	125.1	139.7	121.4	103.8	114.7	96.6	82.9	60.9	28.7	18.9	35.4	59.5	82.8	134.4	129.3	115.1	159.2	146.7	118.6
P13639	Elongation factor 2 OS=Homo sapiens OX=9606 GN=EEF2 PE=1 SV=4	750.996	65	189.5	174.3	173.4	166.1	129.9	97.6	44.5	14.3	6.5	4.2	3.9	4.9	11.2	38	107.8	137.8	158.9	193.2	166.4	177.7
Q86UP2	Kinectin OS=Homo sapiens OX=9606 GN=KTN1 PE=1 SV=1	750.745	100	197.5	194.5	185.7	165.6	91.2	59.4	36.9	27.3	23.6	18.3	18.2	18.8	24.9	32.4	63.4	92.4	152.1	229.8	185.5	182.4
P34932	Heat shock 70 kDa protein 4 OS=Homo sapiens OX=9606 GN=HSPA4 PE=1 SV=4	747.538	58	200.8	194.9	193.5	181.6	137.2	44.7	22.4	12.1	7.6	5.3	4	4.9	8.2	15.6	47.8	144.7	174.9	226	175.5	198.4
P29401	Transketolase OS=Homo sapiens OX=9606 GN=TKT PE=1 SV=3	738.436	54	146.1	140.2	140.5	134.2	113.2	102.8	79	64.4	50.2	29.6	30	44.8	61.9	77	109.6	126.6	126.8	154.2	134.9	134
P11142	Heat shock cognate 71 kDa protein OS=Homo sapiens OX=9606 GN=HSPA8 PE=1 SV=1	736.128	43	198.8	192.8	190.5	176.9	128.4	61.7	25	13.2	7.6	5.3	4.6	5.4	9.2	17.9	69.5	133.4	172.3	218.5	182.5	186.7
P31948	Stress-induced-phosphoprotein 1 OS=Homo sapiens OX=9606 GN=STIP1 PE=1 SV=1	734.323	65	152.8	154.5	143.4	144.1	106.2	96.6	66.7	52.1	46.1	37.6	40.6	37.5	45.9	59.6	104.1	118.9	138.8	169.2	143.2	142.1
Q00610	Clathrin heavy chain 1 OS=Homo sapiens OX=9606 GN=CLTC PE=1 SV=5	733.277	75	184.9	184.3	217.8	223.2	105.6	39.4	19.3	11.4	8.1	6	4.7	5.3	8.2	13	37.9	95.1	214	241.7	196.7	183.4
Q9NZM1	Myoferlin OS=Homo sapiens OX=9606 GN=MYOF PE=1 SV=1	721.673	106	178.9	178.8	196.4	162.1	127.2	97.1	32.4	13.9	7.6	5.5	5.9	6.5	11	23.2	100.2	133.4	152.4	226.7	191.9	148.8
P04406	Glyceraldehyde-3-phosphate dehydrogenase OS=Homo sapiens OX=9606 GN=GAPDH PE=1 SV=3	698.541	33	161.7	160.3	167.6	152.9	129.1	110.1	60.9	31.1	19.8	6.6	8.5	15.9	27.7	53.8	112	136.6	147.6	175.7	163.8	158.3
P46013	Proliferation marker protein Ki-67 OS=Homo sapiens OX=9606 GN=MKI67 PE=1 SV=2	696.579	106	138.8	132.9	137.1	122	107.4	93.6	81.9	71.3	67.1	47.8	49.7	55.8	68.1	76.1	101.6	117.3	119.2	143.9	136	132.3
P14625	Endoplasmin OS=Homo sapiens OX=9606 GN=HSP90B1 PE=1 SV=1	689.246	62	183.6	182	178.9	170.2	113.4	81.7	42.3	27.9	12.1	7.9	4.6	6.9	13.8	36	100	134.9	162.4	202.9	164.7	173.8
P00558	Phosphoglycerate kinase 1 OS=Homo sapiens OX=9606 GN=PGK1 PE=1 SV=3	679.064	38	211.1	193.2	190.6	188.9	140.3	40.7	17.1	8.5	5.3	4.4	3.5	4.1	6.8	12.5	43	150.7	174.8	225.5	176.7	202.5
P26038	Moesin OS=Homo sapiens OX=9606 GN=MSN PE=1 SV=3	669.626	47	195.4	181.5	168.1	174.1	148.9	84.4	20.8	12.8	8.1	5.9	5.6	7.6	12.2	18.3	81.6	155.5	165.2	200.1	171.4	182.5
P07814	Bifunctional glutamate/proline--tRNA ligase OS=Homo sapiens OX=9606 GN=EPRS1 PE=1 SV=5	663.376	83	307	296.4	205.2	74.7	44.9	28	17.6	11.6	8.2	6.5	5.7	6.8	11	17.3	35.9	48.9	75.1	275.4	255.2	268.7
P60709	Actin, cytoplasmic 1 OS=Homo sapiens OX=9606 GN=ACTB PE=1 SV=1	656.459	14	203.5	190.8	202.5	145.9	103.5	70.9	35.8	22.7	16.4	7.9	8.9	12.2	18.9	31.4	78.9	112.2	156.6	192.9	195.6	192.5
P0DMV9	Heat shock 70 kDa protein 1B OS=Homo sapiens OX=9606 GN=HSPA1B PE=1 SV=1	654.964	28	216.1	206.6	206.9	180.5	107.7	45.2	18	9.3	5.7	3.9	3.7	4.2	7.5	13.9	52.3	120.3	175.5	233	189.1	200.4
P15924	Desmoplakin OS=Homo sapiens OX=9606 GN=DSP PE=1 SV=3	642.629	102	273.7	264.4	203.7	110.7	53.2	31.4	19.7	14.5	11.9	16.8	8.6	8.8	12.4	17.2	36.2	52.8	122.8	265.3	204.5	271.3
P30622	CAP-Gly domain-containing linker protein 1 OS=Homo sapiens OX=9606 GN=CLIP1 PE=1 SV=2	633.412	82	142.7	139.3	133.3	132	109.3	101.5	77.8	62.7	56.3	45.2	41.7	41	52.1	66.6	107.5	123.9	131	155	142.6	138.5
P22314	Ubiquitin-like modifier-activating enzyme 1 OS=Homo sapiens OX=9606 GN=UBA1 PE=1 SV=3	622.969	50	247.1	250.7	217.1	171.1	52.5	30.4	13.6	8.2	5.4	3.9	4.6	5.1	7.7	12.6	32.8	50.3	170.8	256.6	226.3	233.2
P78371	T-complex protein 1 subunit beta OS=Homo sapiens OX=9606 GN=CCT2 PE=1 SV=4	615.559	43	203.3	183.8	186.9	170	100	101.3	28	13.6	7.7	5.4	5.2	5.9	9.4	20.9	102.2	138.6	133.9	229.7	199.5	154.8
Q92598	Heat shock protein 105 kDa OS=Homo sapiens OX=9606 GN=HSPH1 PE=1 SV=1	609.756	50	221.5	200.6	196.1	185.2	93.2	49.5	24.4	14.1	8.9	6.4	5.4	6	9.7	16.8	46.4	85.3	180.5	240.2	194.8	214.9
Q9P2E9	Ribosome-binding protein 1 OS=Homo sapiens OX=9606 GN=RRBP1 PE=1 SV=5	604.974	82	169.1	175.5	154.7	141.2	103.9	80.6	60.1	46	39.9	29.1	29.5	30.9	42	52.8	91.5	115.6	136.3	185.4	160.6	155.3
Q14980	Nuclear mitotic apparatus protein 1 OS=Homo sapiens OX=9606 GN=NUMA1 PE=1 SV=2	601.082	95	210.7	195.5	181.6	139.9	102.3	66.7	39.6	27	20.5	16.1	14	16.3	24.1	37.8	78.4	113.3	140	192.7	187.4	195.9
P42704	Leucine-rich PPR motif-containing protein, mitochondrial OS=Homo sapiens OX=9606 GN=LRPPRC PE=1 SV=3	599.364	72	307	280.5	231.4	94.2	36.5	20.6	11.7	7.9	5.7	4.5	4.1	4.8	7.4	10.8	21.4	32.7	56	266.7	283.1	313.1
Q16881	Thioredoxin reductase 1, cytoplasmic OS=Homo sapiens OX=9606 GN=TXNRD1 PE=1 SV=3	596.81	41	158.9	148.7	155.4	143.4	112.8	98.8	64.8	50.9	39.2	27.2	25.4	29.8	42.2	55.6	94.9	124	144.6	162.5	162.8	158.2
P38646	Stress-70 protein, mitochondrial OS=Homo sapiens OX=9606 GN=HSPA9 PE=1 SV=2	589.216	47	217.5	205.5	195.5	173	106.5	49.4	23.2	14	9	6.4	5.4	6.2	10	16.9	45.4	112.8	176	227.8	195.1	204.4
P53396	ATP-citrate synthase OS=Homo sapiens OX=9606 GN=ACLY PE=1 SV=3	587.375	54	228	212.1	238.7	176	85.1	27.3	14.4	8.3	5.8	4.3	3.5	4	6.2	10	27.9	90.2	175.2	261.3	218	203.8
Q9Y4L1	Hypoxia up-regulated protein 1 OS=Homo sapiens OX=9606 GN=HYOU1 PE=1 SV=1	579.524	55	215	210.1	193.9	144.1	78.8	66.7	40.4	29.8	13.3	7.8	5.6	7.8	15.5	37.2	100.9	105.2	133.7	213.7	184.7	195.6
P13667	Protein disulfide-isomerase A4 OS=Homo sapiens OX=9606 GN=PDIA4 PE=1 SV=2	575.732	52	196.9	167.8	168.1	182.2	100.7	80.3	46	31.3	16	10.6	7.6	9.6	16.7	37	101.8	123.1	158.6	194.7	175.9	175.1
Q05639	Elongation factor 1-alpha 2 OS=Homo sapiens OX=9606 GN=EEF1A2 PE=1 SV=1	567.596	24	194.1	190.5	203	172.7	118.9	65.3	29	14.1	7.6	4.9	3.2	3.9	8.6	21	73.9	126.4	164.3	229.2	187	182.5
P11586	C-1-tetrahydrofolate synthase, cytoplasmic OS=Homo sapiens OX=9606 GN=MTHFD1 PE=1 SV=4	556.502	53	308.4	296.3	214.3	93.9	37.2	20.3	11.6	7.9	5.9	4.2	5.1	5.2	7.1	9.8	21.7	33.2	96.5	271.3	253.3	296.6
P48643	T-complex protein 1 subunit epsilon OS=Homo sapiens OX=9606 GN=CCT5 PE=1 SV=1	554.533	41	183.5	180.8	190.8	169	112.1	103.1	32.6	15.5	7.8	4.8	3.5	4.3	9.1	22.9	116.1	150.9	132.9	237.7	174.9	147.7
P30101	Protein disulfide-isomerase A3 OS=Homo sapiens OX=9606 GN=PDIA3 PE=1 SV=4	550.057	45	203.7	198.7	198.7	157.2	90.8	65.6	37	26.9	12.9	8.5	6.6	7.7	13.7	32.5	94.4	107.4	147.8	215	183.2	191.7
P49588	Alanine--tRNA ligase, cytoplasmic OS=Homo sapiens OX=9606 GN=AARS1 PE=1 SV=2	548.796	54	230.5	222.1	199	177.3	85.3	41.5	20.5	11.5	7.2	5	5.4	6.5	9.7	17	46.2	89.6	177.4	241.7	183.3	223.1
P20810	Calpastatin OS=Homo sapiens OX=9606 GN=CAST PE=1 SV=4	548.509	54	127.2	122.4	119.2	122.1	98.1	99.8	83.9	79.4	80.1	67.9	76.4	66	74.4	78.7	105.3	114.6	112.4	132.4	120.3	119.5
P06576	ATP synthase subunit beta, mitochondrial OS=Homo sapiens OX=9606 GN=ATP5F1B PE=1 SV=3	539.008	28	150	146.3	160.9	137.3	112.2	118.5	83.2	56.2	26.4	8.9	7.2	16.9	37.4	63.4	134.1	130.2	125.7	180.7	170.2	134.3
P13010	X-ray repair cross-complementing protein 5 OS=Homo sapiens OX=9606 GN=XRCC5 PE=1 SV=3	538.798	48	234.7	241.1	189.8	131.8	94.2	65.2	23	10.2	6.1	4	4.5	5.6	9.1	16.9	52.8	78.2	116	257	228.9	231.1
O60841	Eukaryotic translation initiation factor 5B OS=Homo sapiens OX=9606 GN=EIF5B PE=1 SV=4	536.935	65	216.7	219	192.8	179.1	102.7	36.6	19.9	13.6	11	8.6	9.8	10.4	14.4	19.5	39.9	109.7	178.8	240.8	169.6	207.2
O00410	Importin-5 OS=Homo sapiens OX=9606 GN=IPO5 PE=1 SV=4	528.925	52	198.7	170.8	191.1	164.1	117.9	96.8	36.5	12.7	6.9	4.5	5.1	6	9.8	27.2	89.3	127.3	164.8	189.4	195	186
P07437	Tubulin beta chain OS=Homo sapiens OX=9606 GN=TUBB PE=1 SV=2	526.244	7	225.3	186.4	228.3	145.6	95.1	59.5	31.4	14.1	8.5	5.7	5.8	6.3	11	23	65.7	102.3	155.1	190.1	223.4	217.2
P42765	3-ketoacyl-CoA thiolase, mitochondrial OS=Homo sapiens OX=9606 GN=ACAA2 PE=1 SV=2	526.047	31	146.8	141.4	150.1	134.6	117	101.6	77.3	61.2	49	21.1	12.9	34.7	53.3	68.3	116.3	126.9	135.4	159.8	150.2	142.1
Q9UPN3	Microtubule-actin cross-linking factor 1, isoforms 1/2/3/4/5 OS=Homo sapiens OX=9606 GN=MACF1 PE=1 SV=4	525.177	96	206.1	205.5	202.2	170.3	99.8	51.1	26.2	17.2	12.3	9.4	8.3	9.5	14.4	22.3	58.6	95	165.3	221.6	204.8	200.2
P68371	Tubulin beta-4B chain OS=Homo sapiens OX=9606 GN=TUBB4B PE=1 SV=1	523.811	4	213	214.7	139	162.3	117.9	79.5	41.2	18.3	8.4	5.6	8	10.5	21.5	41	96.2	129.1	148.7	209.2	159	176.6
P68104	Elongation factor 1-alpha 1 OS=Homo sapiens OX=9606 GN=EEF1A1 PE=1 SV=1	523.773	19	243.4	231.2	195.8	164.2	91.1	39.8	16.3	8.8	5.5	3.9	4.4	4.7	7.7	13.3	41.6	96	162.3	258.9	184.4	226.7
P05787	Keratin, type II cytoskeletal 8 OS=Homo sapiens OX=9606 GN=KRT8 PE=1 SV=7	520.779	43	180.2	186.2	144.3	154.4	126	76.7	52.5	34.3	27	18.5	23.5	23.6	31.5	46.9	84.6	143.8	153.1	178.3	146.6	168
P33176	Kinesin-1 heavy chain OS=Homo sapiens OX=9606 GN=KIF5B PE=1 SV=1	518.238	68	221.1	212.1	217.7	167.3	95.7	38.9	20.3	12.2	8.3	6.3	5.5	6.4	9.7	15.9	40.1	102.3	177.7	245.1	190.6	206.7
P35241	Radixin OS=Homo sapiens OX=9606 GN=RDX PE=1 SV=1	515.772	37	155.9	154.1	143	144	123.2	118	99.1	46.4	10.4	5.9	4.8	7.8	36.5	83.4	129.1	149.8	124.8	167.4	149.5	146.9
P07237	Protein disulfide-isomerase OS=Homo sapiens OX=9606 GN=P4HB PE=1 SV=3	505.698	49	157.9	152.9	148.8	147.5	126.1	101.5	63.5	45.3	33.3	23.4	26.6	27.2	37.2	57.3	113.3	132.9	140.9	166.9	149.3	148.4
P04075	Fructose-bisphosphate aldolase A OS=Homo sapiens OX=9606 GN=ALDOA PE=1 SV=2	503.084	33	143.1	146.1	124.1	139.1	108.6	107.7	92.8	74.7	48.7	15	11.3	36.3	63.5	80.3	116.4	128.6	125.8	159.5	139.5	138.7
P19338	Nucleolin OS=Homo sapiens OX=9606 GN=NCL PE=1 SV=3	498.64	53	188.7	185.8	166.7	161	119.4	80.1	41.9	25.1	18.6	12.6	14.8	17.8	25	36.4	75.6	113.6	153.6	206.5	169.1	187.6
Q16531	DNA damage-binding protein 1 OS=Homo sapiens OX=9606 GN=DDB1 PE=1 SV=1	496.534	59	166.7	151.4	178.9	146.4	115.4	109.6	67.6	42	15.2	6.7	6.2	11.9	33	58.2	110.9	129.3	146.4	177	166.9	160.2
P07195	L-lactate dehydrogenase B chain OS=Homo sapiens OX=9606 GN=LDHB PE=1 SV=2	492.421	28	160.4	149.1	147	145.8	108.8	113.1	78.1	56.3	29.3	12.1	11.7	23	43.6	63.2	110.7	129.1	141.9	167	155.2	154.5
P41250	Glycine--tRNA ligase OS=Homo sapiens OX=9606 GN=GARS1 PE=1 SV=3	491.483	42	161.5	152.3	161.1	143.8	124.3	104.8	72.9	49.6	23.3	6.3	4	17.6	42.2	63.9	117.5	134.5	142.1	170.7	154.6	152.8
Q08211	ATP-dependent RNA helicase A OS=Homo sapiens OX=9606 GN=DHX9 PE=1 SV=4	491.366	53	220.2	209.9	208.2	170.1	101.5	41.8	20.6	12.3	8.6	6.7	6.1	6.9	9.8	16.1	42	100.5	169.5	228.2	209.7	211.2
Q02790	Peptidyl-prolyl cis-trans isomerase FKBP4 OS=Homo sapiens OX=9606 GN=FKBP4 PE=1 SV=3	489.087	43	206.9	201.5	181.5	186.8	109.5	58	26.2	14.7	8.6	6.2	3.6	4.7	8.6	18.8	58.8	114.9	183	241.5	168.2	197.8
P00966	Argininosuccinate synthase OS=Homo sapiens OX=9606 GN=ASS1 PE=1 SV=2	488.39	33	224.7	211.9	216.3	175.7	87.3	41.7	20.7	10.8	6.5	4.6	11.7	11.6	14.9	21	43.7	85.1	166.6	248.6	188.4	208.4
Q00839	Heterogeneous nuclear ribonucleoprotein U OS=Homo sapiens OX=9606 GN=HNRNPU PE=1 SV=6	484.501	48	294.8	260	178.2	105.1	62.8	39	23.3	15.4	12.2	9.2	11.8	13.1	18.5	25.9	48.7	70	105.4	196.5	230.5	279.5
P58107	Epiplakin OS=Homo sapiens OX=9606 GN=EPPK1 PE=1 SV=3	483.649	64	286	284.8	207	76.4	51.1	33.8	23.1	16.1	12	9.8	9.8	11.3	16.8	22.6	40.6	55	77.6	245.1	277	244.2
O75643	U5 small nuclear ribonucleoprotein 200 kDa helicase OS=Homo sapiens OX=9606 GN=SNRNP200 PE=1 SV=2	482.947	73	215.1	205.7	217.5	173.7	92	38.5	21.7	15	11.8	9	6.7	7.1	10.5	14.9	37	86.8	171.2	252	213.1	200.5
Q7KZF4	Staphylococcal nuclease domain-containing protein 1 OS=Homo sapiens OX=9606 GN=SND1 PE=1 SV=1	482.91	56	308.4	299.2	193.8	88.1	43.8	25.7	16.2	10.6	8.1	6.1	6.7	6.7	9.1	12.8	28.5	42.9	87	267.8	237.7	300.7
P02545	Prelamin-A/C OS=Homo sapiens OX=9606 GN=LMNA PE=1 SV=1	481.798	56	131.5	126	128.5	131.7	158.4	157.3	80.7	40.7	27.2	18	18.6	21.1	34.4	70.2	167	162.3	127.8	143.1	130	125.5
P00338	L-lactate dehydrogenase A chain OS=Homo sapiens OX=9606 GN=LDHA PE=1 SV=2	480.641	37	169.4	162.9	178.1	148	119.4	105.9	61.8	33.4	14.3	6.9	6.1	10.8	26.5	51.4	113.3	131.5	152.5	178.7	164.3	164.7
Q15075	Early endosome antigen 1 OS=Homo sapiens OX=9606 GN=EEA1 PE=1 SV=2	470.641	79	137.9	136.3	130.6	126.7	109.1	94.6	74.7	67.1	66.9	56	65.7	56.7	64.9	70.4	106.2	115.1	122.9	141.1	130.8	126.2
P05023	Sodium/potassium-transporting ATPase subunit alpha-1 OS=Homo sapiens OX=9606 GN=ATP1A1 PE=1 SV=1	469.944	50	176.8	160.5	147.8	165.8	119.8	115.5	65.6	26.3	13.7	8.2	6.4	8.1	19.6	56.3	127.7	138	145.5	185	161.9	151.5
P08670	Vimentin OS=Homo sapiens OX=9606 GN=VIM PE=1 SV=4	468.703	43	101.1	99.2	107.4	107.8	144.1	171	98.4	65.6	58.2	47	37.7	37.5	47.3	75.5	191.2	170.4	107.9	120.7	108.2	103.5
Q9C0C2	182 kDa tankyrase-1-binding protein OS=Homo sapiens OX=9606 GN=TNKS1BP1 PE=1 SV=4	465.614	61	123.3	119.8	129.4	116.6	107.3	98.8	83.6	76.6	78.3	66.1	64.9	56.8	63.2	68.5	109	114.8	122	141.9	134.4	124.4
P27797	Calreticulin OS=Homo sapiens OX=9606 GN=CALR PE=1 SV=1	463.556	35	181.6	182.4	179.6	152.9	100.1	82.7	49.5	36.7	20.7	13.9	10.2	12.2	19.8	40.5	103.6	116.6	149.4	198.9	171.3	177.6
P22102	Trifunctional purine biosynthetic protein adenosine-3 OS=Homo sapiens OX=9606 GN=GART PE=1 SV=1	462.449	50	236.4	219.2	222.8	160.6	75.8	37.6	19.9	12.6	8.7	6.4	4.4	4.7	7.4	12.9	35.1	75	169.5	229.5	229	232.7
P49368	T-complex protein 1 subunit gamma OS=Homo sapiens OX=9606 GN=CCT3 PE=1 SV=4	461.336	41	187.2	170.4	199	167.1	107.8	114.6	30.7	12.9	6.1	4.1	4.1	4.5	8.5	22.5	123.2	151.9	125.9	245.1	173.1	141.4
O60701	UDP-glucose 6-dehydrogenase OS=Homo sapiens OX=9606 GN=UGDH PE=1 SV=1	456.414	36	220.4	212.3	222.6	171.7	86.8	51.6	16.4	8.8	5.5	3.9	3.7	4.1	7.1	14.7	57.3	100.7	164.5	227.9	214.2	205.7
P07355	Annexin A2 OS=Homo sapiens OX=9606 GN=ANXA2 PE=1 SV=2	452.646	47	196.3	188.1	172.6	181.3	139.6	84.8	18	10.1	5.3	3.9	3.5	3.7	6.7	11.8	88.8	150.1	167	213.2	170.2	185
P35221	Catenin alpha-1 OS=Homo sapiens OX=9606 GN=CTNNA1 PE=1 SV=1	452.544	46	179.7	172.8	185.1	166.8	134.6	90.6	37.2	17.7	9.6	5.8	5.2	6.9	12.8	29	90.8	135.2	167.3	194.8	181.7	176.3
P55786	Puromycin-sensitive aminopeptidase OS=Homo sapiens OX=9606 GN=NPEPPS PE=1 SV=2	452.249	47	168.5	161.2	165.2	145.6	122.4	102.6	66.6	44.1	17.9	5.8	4.6	12.5	32.1	53.2	110.8	132.6	146.3	179	166.6	162.4
P49792	E3 SUMO-protein ligase RanBP2 OS=Homo sapiens OX=9606 GN=RANBP2 PE=1 SV=2	451.931	77	226.6	220.7	180.9	137.4	91.3	58.1	34.6	22.6	16.2	11.6	12.9	14	19.8	29.5	66	95	136.3	235.3	177.6	213.6
