Accession	Description	Sum PEP Score	# Unique Peptides	temp37.0_concYOU	temp40.6_concYOU	temp43.7_concYOU	temp47.5_concYOU	temp51.2_concYOU	temp54.5_concYOU	temp57.9_concYOU	temp61.5_concYOU	temp64.0_concYOU	temp67.0_concYOU	temp67.0_concSEN	temp64.0_concSEN	temp61.5_concSEN	temp57.9_concSEN	temp54.5_concSEN	temp51.2_concSEN	temp47.5_concSEN	temp43.7_concSEN	temp40.6_concSEN	 temp37.0_concSEN
P12270	Nucleoprotein TPR OS=Homo sapiens OX=9606 GN=TPR PE=1 SV=3	1023.471	137	141.3	143	136.9	132.9	131.1	109.3	67.5	56.7	45.8	35.4	23.3	28.6	27	59.8	112.6	133.3	137.5	158.2	154.8	164.9
O43707	Alpha-actinin-4 OS=Homo sapiens OX=9606 GN=ACTN4 PE=1 SV=2	983.09	61	132.8	129.2	143.5	144.8	143.6	130.9	94.7	63.1	10.5	6.7	4	5.5	22.2	82.7	134.7	144.5	146.4	155.2	148.9	156
P07900	Heat shock protein HSP 90-alpha OS=Homo sapiens OX=9606 GN=HSP90AA1 PE=1 SV=5	960.772	52	200.2	202.9	183.8	186.2	118.3	57.7	24	13.3	8	5.8	4.5	5.5	6.9	20.3	60.5	100.4	183.6	213.2	188.8	216.4
Q9Y490	Talin-1 OS=Homo sapiens OX=9606 GN=TLN1 PE=1 SV=3	945.263	101	196.8	196	204	183.1	111.5	47.8	26	16.1	10.6	8.1	6.9	7.8	9.4	21.6	46.8	95.6	179.5	208.7	201.8	222
P08238	Heat shock protein HSP 90-beta OS=Homo sapiens OX=9606 GN=HSP90AB1 PE=1 SV=4	891.433	51	202.8	191.4	182	191.2	119.6	58	26.1	14.3	8.6	6.1	4.7	5.6	7.5	21.6	61	102.2	185.4	202.7	187.5	221.9
P06733	Alpha-enolase OS=Homo sapiens OX=9606 GN=ENO1 PE=1 SV=2	848.645	49	145.8	145	150.6	149.2	133.4	123.9	85.5	44	15.3	7.4	3.6	11.2	25.7	78.9	127.6	137.7	146.1	159.3	151	158.9
P27816	Microtubule-associated protein 4 OS=Homo sapiens OX=9606 GN=MAP4 PE=1 SV=3	844.708	86	131	127.6	123.8	129.8	106.3	99.4	73.5	74.3	69.8	64.4	73.8	63.1	50.1	78.8	104	117.3	117.6	136.9	124.7	133.6
Q01082	Spectrin beta chain, non-erythrocytic 1 OS=Homo sapiens OX=9606 GN=SPTBN1 PE=1 SV=2	838.995	115	150.2	157.2	176.1	170.4	158.2	112.9	43.2	16.6	9.1	6.1	5.2	6.6	8.4	37.5	106.6	158.4	163.8	176.7	164.6	172.1
P18206	Vinculin OS=Homo sapiens OX=9606 GN=VCL PE=1 SV=4	833.542	84	135.5	133.9	140	137.6	124.8	109.1	78	67.7	47.7	25.8	21.5	39.6	36.8	80.4	118	127	134.9	149.7	143.3	148.8
Q15149	Plectin OS=Homo sapiens OX=9606 GN=PLEC PE=1 SV=3	828.011	145	166.6	176.9	162.7	179.9	128.5	74	38.9	28.8	23.8	20	12.6	12.9	13.2	29.5	68.5	120.3	181.2	193.7	179.7	188.4
P12814	Alpha-actinin-1 OS=Homo sapiens OX=9606 GN=ACTN1 PE=1 SV=2	819.77	48	144.2	139	151.1	151.6	145.6	126.5	86.6	40.2	9.2	5.9	4.5	5.8	16.1	74.6	130	137.1	154.3	158.7	157.8	161.1
P11021	Endoplasmic reticulum chaperone BiP OS=Homo sapiens OX=9606 GN=HSPA5 PE=1 SV=2	787.078	56	171.9	173.4	162.9	167.4	122.2	88.5	48.2	34.2	20.2	11.1	9.1	13.1	14.3	50.4	103.1	129	156.6	182.5	163	179
P14618	Pyruvate kinase PKM OS=Homo sapiens OX=9606 GN=PKM PE=1 SV=4	785.192	52	178.4	176.1	171.8	150.8	125.7	104.8	66.7	12.8	8.1	4.8	3.5	4.5	7.3	59.4	107	123.8	144.6	182.1	178.9	189
Q00610	Clathrin heavy chain 1 OS=Homo sapiens OX=9606 GN=CLTC PE=1 SV=5	767.499	79	175.1	185.2	200.8	234.7	119.2	39.9	19.3	11.4	7.9	6.4	5	5.8	7.4	15.4	37.7	88.6	226.7	206.1	204.8	202.4
P55072	Transitional endoplasmic reticulum ATPase OS=Homo sapiens OX=9606 GN=VCP PE=1 SV=4	765.666	62	121.1	129.1	139.4	125.6	116.8	119.1	89.7	80.5	54.8	23.9	16.5	36.1	34.2	89.5	141.6	124.9	132.9	137.4	142.5	144.4
P13639	Elongation factor 2 OS=Homo sapiens OX=9606 GN=EEF2 PE=1 SV=4	754.276	61	180.4	174.1	156.4	174.5	140	108.6	42.6	13.9	5.9	3.7	3.9	5.2	8.3	37.5	111.4	135.8	166.6	171	176	184.2
P34932	Heat shock 70 kDa protein 4 OS=Homo sapiens OX=9606 GN=HSPA4 PE=1 SV=4	746.272	59	189.7	188.1	191	186.9	150.3	46.7	22	12	7.6	5.7	4	5.1	6.3	17	43.5	139.1	183.5	206.7	190.3	204.6
P04406	Glyceraldehyde-3-phosphate dehydrogenase OS=Homo sapiens OX=9606 GN=GAPDH PE=1 SV=3	730.182	36	154.3	156.2	159.8	157.6	133.9	120.3	57.7	33	19.3	7.8	6.6	14.9	18.5	60.4	115.2	133.7	150.1	167.8	163.1	169.8
P31948	Stress-induced-phosphoprotein 1 OS=Homo sapiens OX=9606 GN=STIP1 PE=1 SV=1	719.232	63	146.1	148.2	145	145.9	110.8	101.8	62.5	54.1	45.3	40.2	42	38.2	30.6	62.6	106	116.7	141.8	158.6	147.5	156
P11142	Heat shock cognate 71 kDa protein OS=Homo sapiens OX=9606 GN=HSPA8 PE=1 SV=1	712.999	42	198.5	185.4	182.6	187.2	132.5	64.1	23.1	12.8	7.9	5.8	4.9	5.9	7.7	20	67.2	135.1	173.2	204.2	182.5	199.3
Q86UP2	Kinectin OS=Homo sapiens OX=9606 GN=KTN1 PE=1 SV=1	708.549	96	182.6	196.7	190.5	167.4	94.6	61.8	35.2	28.9	22.9	19.3	20	20.6	18.9	36.1	66.2	92.2	156	185.8	196.8	207.4
P29401	Transketolase OS=Homo sapiens OX=9606 GN=TKT PE=1 SV=3	686.179	52	135.9	133.8	133.7	134.2	123.3	107.9	80.1	71.1	51.1	28.8	25.6	43.7	34.9	81.5	119.5	127.3	135.2	146.5	140.8	144.9
P14625	Endoplasmin OS=Homo sapiens OX=9606 GN=HSP90B1 PE=1 SV=1	676.944	62	178	176.6	174.8	170	130.5	81.3	39.5	25.3	14.8	9.2	4.7	6.3	10.3	39.6	96.9	125.3	166.5	187.4	175.3	187.5
P00558	Phosphoglycerate kinase 1 OS=Homo sapiens OX=9606 GN=PGK1 PE=1 SV=3	676.564	37	202.7	189.5	185.9	189.3	155.2	41.2	17.6	8.8	5.6	4.2	3	3.7	5.1	12.8	40	148.7	181.6	205.4	193.5	206.2
P26038	Moesin OS=Homo sapiens OX=9606 GN=MSN PE=1 SV=3	673.878	47	183.9	182.5	157.8	180.6	160.5	86.8	20.5	13.2	8.3	5.9	5.4	7.6	8.9	19.5	82.1	157	167.1	185.1	177.2	190.2
P60709	Actin, cytoplasmic 1 OS=Homo sapiens OX=9606 GN=ACTB PE=1 SV=1	673.828	17	194.5	182.7	186.7	155.3	118.8	78.9	34.8	23.4	15.6	9.3	8.1	11	15.2	30.8	79.6	117.5	162.3	181.7	190.2	203.4
P78527	DNA-dependent protein kinase catalytic subunit OS=Homo sapiens OX=9606 GN=PRKDC PE=1 SV=3	663.79	102	257.5	271.4	204.8	133.8	50.7	30.9	18	13.6	10.7	8.6	6	6.4	8.5	15.1	28.2	38.6	137.5	211.3	269	279.3
P22314	Ubiquitin-like modifier-activating enzyme 1 OS=Homo sapiens OX=9606 GN=UBA1 PE=1 SV=3	663.342	53	238.8	242.6	215.9	179.3	57.4	32.5	13.9	9	5.9	4.6	4	4.4	6.2	12.1	28.2	43.4	171.1	242.5	232.3	255.9
Q9NZM1	Myoferlin OS=Homo sapiens OX=9606 GN=MYOF PE=1 SV=1	652.959	92	162.7	173.5	184.7	165.8	150.7	99.2	32	15.3	9.2	6.9	5.2	5.9	8.3	24.9	102.6	129	174.9	172.9	186.8	189.6
P0DMV9	Heat shock 70 kDa protein 1B OS=Homo sapiens OX=9606 GN=HSPA1B PE=1 SV=1	651.06	34	208.6	202.9	200.9	188.1	117	47.9	17	8.9	5.1	3.6	4.3	4.9	6	15.1	50.9	118.3	180.5	216.8	191.6	211.5
P07814	Bifunctional glutamate/proline--tRNA ligase OS=Homo sapiens OX=9606 GN=EPRS1 PE=1 SV=5	614.71	81	284.2	293.8	199.7	82.3	55.1	34.7	20	13.5	9.2	7.6	5	6.3	8	17.9	35.2	46.4	82.4	199.5	286.7	312.7
P15924	Desmoplakin OS=Homo sapiens OX=9606 GN=DSP PE=1 SV=3	610.677	101	269.1	277.5	176.2	124.3	56.8	35.4	21.4	16.3	12.6	10.4	9.3	9.2	10.6	18.2	33.3	46.8	121.9	246	218.6	286.3
P42704	Leucine-rich PPR motif-containing protein, mitochondrial OS=Homo sapiens OX=9606 GN=LRPPRC PE=1 SV=3	597.803	72	304.6	291.6	226.5	81.5	39.5	22.6	13.1	9	6.4	4.9	4.5	5.3	6.7	12.5	23.8	33.4	59.2	212.6	310.3	331.7
Q9P2E9	Ribosome-binding protein 1 OS=Homo sapiens OX=9606 GN=RRBP1 PE=1 SV=5	595.186	84	160.3	161.9	160.7	142.3	111.2	85	59.2	48.8	39.2	31.6	31.2	33.6	25.5	60	94.1	116.2	137.9	164.4	164	173.1
Q92598	Heat shock protein 105 kDa OS=Homo sapiens OX=9606 GN=HSPH1 PE=1 SV=1	593.978	49	212.4	209.5	183.5	192.1	105.5	48.5	21.6	12.6	8.2	6.1	5.1	6	7.1	17.8	47.4	77.9	184.9	206.4	219	228.4
P30622	CAP-Gly domain-containing linker protein 1 OS=Homo sapiens OX=9606 GN=CLIP1 PE=1 SV=2	591.347	82	131.6	127.4	136.2	131.7	120	106.4	76.3	66.1	56.2	48.2	44.3	42.3	27.4	71.5	111.3	125.9	137.3	147.3	142.5	150.2
P78371	T-complex protein 1 subunit beta OS=Homo sapiens OX=9606 GN=CCT2 PE=1 SV=4	586.374	42	181.6	192.8	192.3	156.1	133.8	94	24.4	12.6	7.1	5.3	6.1	6.9	8	24.9	112.4	118.8	161.6	173.6	192.1	195.5
P46013	Proliferation marker protein Ki-67 OS=Homo sapiens OX=9606 GN=MKI67 PE=1 SV=2	585.786	89	130.3	125.6	132.4	124.9	110.1	102.4	83.5	78.4	65.1	47.3	47.7	56.3	38.4	81.7	105.3	116.8	130.5	140.6	138.1	144.5
Q16881	Thioredoxin reductase 1, cytoplasmic OS=Homo sapiens OX=9606 GN=TXNRD1 PE=1 SV=3	573.672	42	148.4	141.9	147.9	143.3	142.1	101.9	62.1	50.9	35.9	25.6	27.5	33.2	31.1	64.2	109.7	127.9	143.8	161.7	139.9	161
Q14980	Nuclear mitotic apparatus protein 1 OS=Homo sapiens OX=9606 GN=NUMA1 PE=1 SV=2	570.484	90	199.9	187.8	177.2	145.2	107.9	70.1	40.5	30.2	22.7	18.3	15.1	16.9	17.6	38.3	78.5	108.3	144.8	172.6	191	216.9
Q9Y4L1	Hypoxia up-regulated protein 1 OS=Homo sapiens OX=9606 GN=HYOU1 PE=1 SV=1	569.984	56	221.4	235.8	157.9	150.8	94.3	66.5	32.7	21.9	12	6.7	4.4	6.4	8.7	36.4	87.6	86.7	153.7	212.3	185.4	218.3
Q05639	Elongation factor 1-alpha 2 OS=Homo sapiens OX=9606 GN=EEF1A2 PE=1 SV=1	569.494	24	195.8	183.4	190.3	177.1	133.7	67.5	26.8	13.5	6.9	4.9	4.3	5.9	8.4	26.3	79.6	120.5	167.4	198.7	188.7	200.3
P53396	ATP-citrate synthase OS=Homo sapiens OX=9606 GN=ACLY PE=1 SV=3	561.305	58	203.8	216.8	226.6	187.5	108.1	27.3	13.8	7.3	5	4	3	3.6	4.9	9.4	23.8	81.9	195.5	212.8	223.4	241.8
P30101	Protein disulfide-isomerase A3 OS=Homo sapiens OX=9606 GN=PDIA3 PE=1 SV=4	557.048	46	207.1	199.4	186.5	165	99.2	66.6	31.9	21.7	13.3	9.2	6.5	7.5	8.7	33.6	77.8	92.3	158.5	210.3	194.2	210.7
P19338	Nucleolin OS=Homo sapiens OX=9606 GN=NCL PE=1 SV=3	552.302	57	172.4	175.4	171.6	161.6	126.8	88.1	42.7	26.9	20.1	14.4	14.5	17.1	19.9	39.2	76.7	111.5	151.9	189.2	186.2	193.7
Q9UPN3	Microtubule-actin cross-linking factor 1, isoforms 1/2/3/4/5 OS=Homo sapiens OX=9606 GN=MACF1 PE=1 SV=4	547.038	98	201	201.9	188.3	182.4	105.5	52.8	26.6	18.5	12.8	10.3	7.9	9.2	11.6	23.4	53.4	93.1	173.3	203	200.6	224.5
P11586	C-1-tetrahydrofolate synthase, cytoplasmic OS=Homo sapiens OX=9606 GN=MTHFD1 PE=1 SV=4	542.503	53	309.4	309.2	189.7	97.5	37.9	21.8	12.8	9.3	6.8	5.6	4	4.5	5.8	11.2	22.9	32.3	95	232.4	286.2	305.7
P48643	T-complex protein 1 subunit epsilon OS=Homo sapiens OX=9606 GN=CCT5 PE=1 SV=1	540.545	40	169.6	182.3	180.7	168.3	134.8	105.5	30.6	15.7	7.7	4.8	4.7	5.7	8.1	28.1	119	130.6	169.8	172.1	173.7	188.2
P38646	Stress-70 protein, mitochondrial OS=Homo sapiens OX=9606 GN=HSPA9 PE=1 SV=2	538.157	46	212.9	200.4	198.6	181.8	107	51.4	20.9	12.9	8.1	5.8	5.6	6.5	6.5	17.9	45.1	111	179	217.2	191.9	219.4
P49588	Alanine--tRNA ligase, cytoplasmic OS=Homo sapiens OX=9606 GN=AARS1 PE=1 SV=2	537.877	52	216.8	217.6	189.2	185.2	92	46.5	21.8	14.1	9.4	7.5	5.4	6.1	8.4	19	47.2	87.2	175.8	222.4	198.7	229.8
P41250	Glycine--tRNA ligase OS=Homo sapiens OX=9606 GN=GARS1 PE=1 SV=3	536.7	43	149.5	147.1	148.1	148.9	132.1	115	73.2	55.3	24.9	5.9	4.5	18	27.9	67.5	122.2	133.1	150.1	156	158.8	162
P68104	Elongation factor 1-alpha 1 OS=Homo sapiens OX=9606 GN=EEF1A1 PE=1 SV=1	532.837	18	241	240.8	181	165.1	97.7	40.2	15.6	8.9	5.7	4.3	4.4	4.7	6.2	13.5	42.7	89.5	162.8	240.8	196.1	239.3
P06576	ATP synthase subunit beta, mitochondrial OS=Homo sapiens OX=9606 GN=ATP5F1B PE=1 SV=3	531.428	30	140.9	150.4	159.5	137.5	131.2	123.5	72.9	52.7	23.2	8.3	4.6	17.4	22.4	77.8	143.4	118.9	147.4	149.1	157.4	161.6
P42765	3-ketoacyl-CoA thiolase, mitochondrial OS=Homo sapiens OX=9606 GN=ACAA2 PE=1 SV=2	524.744	34	141.3	139.8	149.6	140.3	124.8	108.3	71.9	61.5	43.9	18.8	12.5	34	30.3	70.7	118	125.3	142.8	154.6	153	158.8
P13667	Protein disulfide-isomerase A4 OS=Homo sapiens OX=9606 GN=PDIA4 PE=1 SV=2	524.053	47	184.1	182	180.6	172.5	115.8	78	37.4	25.3	14.8	9.5	6.1	8	10.2	36.6	90.9	112.3	169.1	191.4	184.5	190.9
P33176	Kinesin-1 heavy chain OS=Homo sapiens OX=9606 GN=KIF5B PE=1 SV=1	518.457	67	218.4	209.1	193.2	186.4	102.9	41.3	20.3	12.5	8.7	7.1	5.5	6	7.2	15.8	37.7	94.7	182.2	220.3	204.1	226.6
P07437	Tubulin beta chain OS=Homo sapiens OX=9606 GN=TUBB PE=1 SV=2	513.21	7	204.7	192.2	195.6	151.9	128.7	64.4	33.2	14.2	8.7	6.3	5.8	6	9.2	24.2	72.4	108.8	162.3	177.8	215.2	218.4
P00338	L-lactate dehydrogenase A chain OS=Homo sapiens OX=9606 GN=LDHA PE=1 SV=2	510.789	37	154.8	156.3	160.6	155	136.4	116	59.9	37.9	15.8	7.3	4.8	12	11.8	56.8	122.7	131.5	160.1	155.3	166.3	178.7
P68371	Tubulin beta-4B chain OS=Homo sapiens OX=9606 GN=TUBB4B PE=1 SV=1	507.297	4	177.6	170.4	180.1	157.7	130	87.5	51.7	23.4	12.7	8.9	6.6	7.8	15.7	43.3	93.2	127.9	151.1	181.7	183.1	189.7
P05787	Keratin, type II cytoskeletal 8 OS=Homo sapiens OX=9606 GN=KRT8 PE=1 SV=7	504.226	43	166.1	165.6	170.9	161.4	127.6	81.1	47.6	35.1	25.6	19.1	18	18.8	17.8	43.8	81	145.4	164.9	179.4	151.5	179.3
P02545	Prelamin-A/C OS=Homo sapiens OX=9606 GN=LMNA PE=1 SV=1	503.946	55	121.8	118.2	126.9	137	169.3	163.1	77.9	40.6	26.4	18.8	20.7	24.7	17.4	76.4	166.2	162.1	132.4	137.2	130.5	132.3
P07237	Protein disulfide-isomerase OS=Homo sapiens OX=9606 GN=P4HB PE=1 SV=3	501.851	47	159.2	150.7	133.3	149.1	129	109.7	62.5	46.5	34.6	25.4	26.6	28.9	28	64.4	118.6	134.1	141	157.5	145.4	155.5
Q16531	DNA damage-binding protein 1 OS=Homo sapiens OX=9606 GN=DDB1 PE=1 SV=1	501.408	58	146.5	147.3	155.7	148.8	149.4	118.6	65.3	45.3	16.2	6.9	5.4	11.8	24.4	62.6	130.6	130.5	159.2	140.7	167.4	167.5
Q08211	ATP-dependent RNA helicase A OS=Homo sapiens OX=9606 GN=DHX9 PE=1 SV=4	492.96	55	202.2	200.9	207.1	173	119.6	44.8	21.8	13.5	9.4	7.7	5.4	5.7	7.8	17	45.6	106.1	177.5	196.5	213.5	224.9
P13010	X-ray repair cross-complementing protein 5 OS=Homo sapiens OX=9606 GN=XRCC5 PE=1 SV=3	491.71	46	221.1	228.8	194.6	135.4	105.6	68.5	22.9	11.7	6.9	4.7	3.8	4.9	6.5	16.5	57	78	123	231.4	221.4	257.6
O60841	Eukaryotic translation initiation factor 5B OS=Homo sapiens OX=9606 GN=EIF5B PE=1 SV=4	489.61	64	210.8	215.9	178.8	191.9	109.1	39.6	20.1	14.2	10.8	8.9	7.9	8	7.8	16.3	35.6	103.4	186.2	226.4	182.4	226.2
Q7KZF4	Staphylococcal nuclease domain-containing protein 1 OS=Homo sapiens OX=9606 GN=SND1 PE=1 SV=1	488.057	56	308.2	304.3	196	87.9	43.7	23.8	14.1	9.6	6.9	5.4	5.8	6.5	7.2	14.4	28.4	42.6	89.9	221.3	256.2	327.8
Q00839	Heterogeneous nuclear ribonucleoprotein U OS=Homo sapiens OX=9606 GN=HNRNPU PE=1 SV=6	487.542	47	291.1	266.2	149	106	65.2	45.3	27.4	20.9	16.3	12.7	13.1	15.5	14.4	30.1	50.5	69.5	104.1	189.5	208.1	305.4
P04075	Fructose-bisphosphate aldolase A OS=Homo sapiens OX=9606 GN=ALDOA PE=1 SV=2	484.733	32	138.5	127.1	126.4	145	115.7	119.3	90.9	78	46.2	12.9	9.5	38.4	36.3	90.7	121.7	132.4	130.4	153	137.9	149.7
P07195	L-lactate dehydrogenase B chain OS=Homo sapiens OX=9606 GN=LDHB PE=1 SV=2	480.434	26	142.3	142.7	148	143.1	134.8	117.4	73.2	57.4	29.2	12	10.8	28.6	17.5	80.3	125.7	141.2	133.1	151.1	151.7	160
O60701	UDP-glucose 6-dehydrogenase OS=Homo sapiens OX=9606 GN=UGDH PE=1 SV=1	479.686	37	216.4	213.4	193.5	178.7	104.6	54.8	17.7	10	6.2	4.6	3.6	4	5.6	14.5	60.2	93.4	169.6	213	209.7	226.2
Q14683	Structural maintenance of chromosomes protein 1A OS=Homo sapiens OX=9606 GN=SMC1A PE=1 SV=2	478.269	72	206.2	209.4	196.1	173.1	124.6	49.4	18.6	10.9	6.7	5.1	4.5	5.7	7.1	15.7	44.8	107.1	167.3	225.7	181.2	241
Q9BQE3	Tubulin alpha-1C chain OS=Homo sapiens OX=9606 GN=TUBA1C PE=1 SV=1	477.762	2	183.7	179.2	187.5	155.2	121.3	80.7	41	24	15.5	11.7	6.8	6.8	10.5	30.4	83.5	114.7	160.6	177.4	203	206.3
P35241	Radixin OS=Homo sapiens OX=9606 GN=RDX PE=1 SV=1	477.358	37	150.7	148.7	139.9	150	128	128.4	91.4	46.3	10.4	6.2	5.7	8.5	23.6	89.2	133.1	142.4	136	154.8	150	156.7
Q71U36	Tubulin alpha-1A chain OS=Homo sapiens OX=9606 GN=TUBA1A PE=1 SV=1	475.803	2	162.9	147.5	168.9	152.8	126.1	110.4	60.7	37.5	18.5	14.6	201.4	189.6	174.1	121.5	84	69.3	41.9	35.4	35.9	47
P20810	Calpastatin OS=Homo sapiens OX=9606 GN=CAST PE=1 SV=4	473.275	52	122.2	116.4	118.2	123.7	105	106	79.9	82.6	75	70.9	71.8	58.8	51.5	79.7	110.7	118.4	118.4	133.8	124	133
P07355	Annexin A2 OS=Homo sapiens OX=9606 GN=ANXA2 PE=1 SV=2	470.32	49	187.5	182.3	180.6	179.4	152.9	83.3	16.1	9.2	5	3.7	3	3.5	5.4	12.3	83.2	149.5	171.8	200.4	176.4	194.3
Q15075	Early endosome antigen 1 OS=Homo sapiens OX=9606 GN=EEA1 PE=1 SV=2	470.178	79	130.1	127.1	132	128.2	111.5	99.2	72.4	72.4	66.4	60.8	66.2	55.8	35.9	72.5	109.7	116.6	127.5	137.7	137.2	141
Q9C0C2	182 kDa tankyrase-1-binding protein OS=Homo sapiens OX=9606 GN=TNKS1BP1 PE=1 SV=4	460.262	62	114.5	114.1	122.5	118.3	113.3	104.7	83.4	81.6	77.2	70.4	70.6	62.8	48.4	78	112.1	114.8	122.4	130.2	128.7	132
P13797	Plastin-3 OS=Homo sapiens OX=9606 GN=PLS3 PE=1 SV=4	460.219	42	167	159.8	168.6	169.3	147.5	118.2	41.8	15.4	7.6	4.8	4.3	5.2	7.6	34.6	120.9	145.6	163.2	175.3	165.5	177.7
O60610	Protein diaphanous homolog 1 OS=Homo sapiens OX=9606 GN=DIAPH1 PE=1 SV=2	459.613	56	206.8	206.2	211.2	172.7	86.1	51.8	25.5	18	12.6	9.2	7	8.9	11.3	22.8	52.7	72.9	169	219.3	204.8	231.1
Q02790	Peptidyl-prolyl cis-trans isomerase FKBP4 OS=Homo sapiens OX=9606 GN=FKBP4 PE=1 SV=3	456.636	39	204.1	212.3	179.6	193.1	111.3	55.2	20.7	11.8	7.1	4.9	3.4	4.5	6.5	18.5	52.3	105.6	183.2	223.9	187.5	214.7
P00966	Argininosuccinate synthase OS=Homo sapiens OX=9606 GN=ASS1 PE=1 SV=2	455.77	30	212.3	212.9	206.9	182.3	96.5	45	20.5	11.5	6.9	5.1	4	4.9	7.1	18.3	46	85.7	166.2	213.6	223.2	230.9
P05023	Sodium/potassium-transporting ATPase subunit alpha-1 OS=Homo sapiens OX=9606 GN=ATP1A1 PE=1 SV=1	455.015	47	152.7	152.6	161.9	156.7	140.4	118.5	66.3	27.2	14.7	9	5.1	7.2	11.4	55.8	125	133.5	162.2	162.5	169.1	168.2
O75643	U5 small nuclear ribonucleoprotein 200 kDa helicase OS=Homo sapiens OX=9606 GN=SNRNP200 PE=1 SV=2	454.836	67	207.5	227.8	184.7	186.3	98	39.2	20.8	15.5	11.2	9.1	6.7	7.2	9.8	16.2	37.4	85.4	183.4	220	198.9	235
P35221	Catenin alpha-1 OS=Homo sapiens OX=9606 GN=CTNNA1 PE=1 SV=1	452.628	47	172.9	166.4	176.6	171	145.9	95.1	37.2	18.2	10.2	6.5	4.5	6.6	8.6	31.3	94.1	136.1	169.8	182.8	181	185.2
O00410	Importin-5 OS=Homo sapiens OX=9606 GN=IPO5 PE=1 SV=4	450.143	51	174.4	166.6	173.1	162.2	157	104.3	36.4	13.5	7.3	5.3	5	6.1	8.7	28	110.7	130.1	171.1	161.1	188.2	191
P08670	Vimentin OS=Homo sapiens OX=9606 GN=VIM PE=1 SV=4	447.807	40	94.2	93.2	103.7	106.7	147.8	176.7	95.5	71.4	58.6	52.1	35.6	36.9	27.5	73.1	187.6	161.8	126.8	122.7	113.9	114.1
P31939	Bifunctional purine biosynthesis protein ATIC OS=Homo sapiens OX=9606 GN=ATIC PE=1 SV=3	444.56	39	237.2	232.6	238.2	150.1	66.9	33.7	16.6	11.1	7.7	6	3.9	4.8	6.2	11.5	27.8	58.2	144.3	261.5	222.4	259.3
