Accession	GeneName	Description	PG.Qvalue	S0.1	S0.2	S0.3	S3.1	S3.2	S3.3	S6.1	S6.2	S6.3	S9.1	S9.2	S9.3	S12.1	S12.2	S12.3	S24.1	S24.2	S24.3
A2RU67	FAM234B	Protein FAM234B	6.12E-18	133439.4063	168260.0938	198967.3125	142020.875	161993.25	110005.4922	NaN	129065.1797	87872.41406	111966.9688	148903.2813	99430.78906	124105.0078	138273.8594	127592.5313	94563.63281	85801.26563	96759.60938
A2RUC4	TYW5	tRNA wybutosine-synthesizing protein 5	1.57E-21	236429.5938	244919.4844	324100.7813	155098.7813	227957.6875	241940.1094	238213.9219	229279.8906	182858.7031	196716.75	186989.2031	183586.4531	197280.6875	181237.5938	176647.5313	168897.0313	109731.7813	155087.4375
A2VDF0	FUOM	Fucose mutarotase	2.49E-26	10320.32715	16967.66016	11806.22656	10308.65234	11556.91895	4769.469238	14356.05957	10224.11914	6844.986328	11166.66797	11221.79492	11541.03613	8348.191406	12508.62207	6132.257324	15837.37598	6181.134766	6325.286621
A2VDJ0	TMEM131L	Transmembrane protein 131-like	0.002175992	NaN	210801.2969	NaN	NaN	167751.9375	168547.4219	NaN	NaN	155991.4219	NaN	151385.9844	145222.2656	NaN	159071.1094	NaN	NaN	NaN	NaN
A3KMH1	VWA8	von Willebrand factor A domain-containing protein 8	9.10E-40	198897.4219	173198.4844	185036.9375	177206.1094	179392.2969	179190.5938	196931.9063	164202.2969	159482.125	163567.0625	155405.3438	145353.0781	161698.1719	145225.5781	169923.7344	150138.7344	174129.7344	174284.5469
A3KN83	SBNO1	Protein strawberry notch homolog 1	1.09E-46	214332.2188	217673.0938	193212.2031	195427.875	213036.1406	213849.2969	220749.5	170807.3438	200145.4219	223232.8906	198860.5	198487.6719	224643.0781	221537.9688	210933.0469	191833.8906	217117.5625	212017.4688
A4D1E1	ZNF804B	Zinc finger protein 804B	0.004035423	NaN	NaN	NaN	NaN	NaN	NaN	NaN	819729.8125	743805.875	NaN	611687.6875	NaN	462863.6563	NaN	393820.9688	339015.5313	NaN	NaN
A4D1E9	GTPBP10	GTP-binding protein 10	1.00E-33	192124.25	185023.2969	166852.5313	177011.7969	165836.4531	175764.3438	195159.4375	153374.125	198176.5781	187112.1563	192119.9219	175452.0781	214744.8281	211979.9375	188087.3438	201136.6563	233373.7031	185019.9688
A4D1P6	WDR91	WD repeat-containing protein 91	1.11E-38	282386.875	342678	332965.4063	319607.7188	327337.6875	318435.875	269757.0625	274264.5625	321935.2813	325967.4063	335567.125	316722.3125	344649.875	369001.5	300508.7813	326046.5625	242751.9219	275762.7188
A4D1S0	KLRG2	Killer cell lectin-like receptor subfamily G member 2	4.38E-28	526786.9375	362566.2188	520706.875	433816.1563	472483.4063	532384.5	450587.2188	388932.3438	429359	501558.7188	359822.9375	448801.7813	589183.25	583837.625	542680.25	533675.875	333127.875	413190.4063
A4D2B0	MBLAC1	Metallo-beta-lactamase domain-containing protein 1	1.59E-11	39317.08984	4146.585449	30486.43164	62387.44531	32525.50391	NaN	40040.75	NaN	5835.68457	24360.38281	49557.66797	85075.57031	125380.9922	67674.22656	NaN	NaN	100358.5234	102222.7734
A5A3E0	POTEF	POTE ankyrin domain family member F	0.000153864	34679.26172	5033.129395	47190.41406	47459.24609	24553.62305	13600.50684	46080.50391	72503.48438	80335.41406	41412.13672	26791.18164	80157.88281	49885.11328	61796.74609	40836.05469	52837.50391	53820.34766	51750.01563
A5D8V6	VPS37C	Vacuolar protein sorting-associated protein 37C	3.03E-25	166385.8906	215330.8594	217397.1094	187478.3125	307630.3125	185539.7656	293054.6875	377415.8438	265896.625	222432.7031	250901.25	247723.1875	185829.3438	223149.2969	224437.6563	160974.2188	160579.8906	260770.625
A5PL33	KRBA1	Protein KRBA1	0.000426744	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	87904.89844	336506.9688	NaN	318524.0938
A5PLL1	ANKRD34B	Ankyrin repeat domain-containing protein 34B	3.36E-08	66946.10156	90532.19531	60512.78906	75087.34375	70194.08594	77239.60156	NaN	NaN	67189.74219	45162.41797	57379.32031	61636.48438	65204.66016	NaN	69953.10156	58671.05469	56505.02344	62343.26172
A5PLL7	PEDS1	Plasmanylethanolamine desaturase	2.15E-17	52770.24219	54408.85156	47176.30469	51521.1875	45487.78516	47188.34766	44436.97266	37344.38281	36183.12109	24511.27539	41993.65625	53976.32031	62131.63672	72743.92969	52719.94531	63235.13281	89958.46875	78037.32813
A5PLN9	TRAPPC13	Trafficking protein particle complex subunit 13	1.63E-35	119576.5156	101577.875	95263.625	121723.8281	113842.375	109080.4297	132272.7031	121458.3359	91537.60156	131858.4063	140283.0938	99785.19531	116848.8203	120322.8906	120574.2969	103043.5313	132459.75	141438.9531
A5YKK6	CNOT1	CCR4-NOT transcription complex subunit 1	3.77E-39	704396.5625	599770.0625	540560.625	529406	571757.3125	701797	548745.25	408268.4375	464645.9688	480603.4375	475640.5938	510026.3438	638757.25	673709.5	677163.3125	584576.75	624786.5625	652113
A6H8Y1	BDP1	Transcription factor TFIIIB component B'' homolog	9.09E-21	49557.68359	40015.6875	78905.58594	61616.17188	82717.20313	47612.90234	37781.23438	45660.16016	57440.375	55702.71094	43666.85938	29569.9707	38991.86328	37060.625	33538.87891	33429.36719	39178.58984	NaN
A6NC78;H3BSY2	GOLGA8IP;GOLGA8M	Putative golgin subfamily A member 8I;Golgin subfamily A member 8M	0.001124742	NaN	NaN	NaN	NaN	143155.9375	NaN	NaN	224780.375	66205.05469	84636.50781	NaN	85631.67969	176943.2656	90040.51563	77046.25	NaN	NaN	64650.65625
A6NCE7;Q9GZQ8	MAP1LC3B2;MAP1LC3B	Microtubule-associated proteins 1A/1B light chain 3 beta 2;Microtubule-associated proteins 1A/1B light chain 3B	2.94E-23	125108	125393.9141	135015.75	137729.2969	134221.2188	119423.3125	120680.9219	131648.6563	136847.4063	149350.75	127580.4453	138399.0469	123271.7891	125273.3047	113797.4297	71483.54688	74873.78125	76352.9375
A6NDG6	PGP	Glycerol-3-phosphate phosphatase	1.06E-26	227754.7188	242011.4375	255957.9219	244443.0781	226315.0938	217087.7031	245555.1563	228298.5469	234103.5	240956.7188	246224.7813	233567.5	222097.4688	228547.2344	215250.6094	223295.125	196685.75	203883.8906
A6NDU8	RIMOC1	RAB7A-interacting MON1-CCZ1 complex subunit 1	6.42E-33	60675.47266	60394.52344	50122.99609	54789.12891	55434.35547	76661.67969	51951.07031	40133.24219	47586.74219	49057.12891	42239.26953	54324.73828	60163.77344	63790.97656	67106.49219	54136.07813	60170.55859	70494.55469
A6NED2	RCCD1	RCC1 domain-containing protein 1	1.59E-36	251538.9688	308618.4688	255715.5781	251639.9844	251403.1563	257319.9688	282426.5	204941.3125	229195	270323.75	230398.6719	239985.0781	262746	280168.7813	223077.6719	249580.3125	223238.625	257345.6406
A6NEY8	PRORSD1P	Putative prolyl-tRNA synthetase associated domain-containing protein 1	0.0016855	84497.07813	130138.0156	77659.71875	102285.5938	81001.67188	NaN	103765.7813	62025.55469	80035.03906	99773.3125	90225.88281	63001.76953	99876.40625	NaN	61634.63281	52056.64453	60878.61328	66822.34375
A6NFI3	ZNF316	Zinc finger protein 316	4.26E-30	12130.80664	12207.91113	13555.75293	12727.73047	15414.19238	13329.93457	13493.48047	12179.33008	10213.72949	13362.71094	13899.0166	13443.86328	13164.17285	14563.54102	13495.02246	12408.64844	13087.58105	18407.1543
A6NGB9	WIPF3	WAS/WASL-interacting protein family member 3	7.86E-11	NaN	100814.6406	NaN	23636.79297	NaN	33023.89844	NaN	327144.125	83730.39063	NaN	NaN	210782.4375	329075.5938	NaN	NaN	NaN	366573	374440.7188
A6NGD5;Q9BUG6	ZSCAN5C;ZSCAN5A	Zinc finger and SCAN domain-containing protein 5C;Zinc finger and SCAN domain-containing protein 5A	0.000112465	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	32562.86133	64051.20313	NaN	NaN	NaN	39757.49609	NaN	55245.29297
A6NHR9	SMCHD1	Structural maintenance of chromosomes flexible hinge domain-containing protein 1	1.84E-45	1130503.375	1147461.875	1091617.75	1089481	1034712.688	1112833.875	1079766.875	959589.375	1078081.5	1062039	987119.375	1039242.875	1069707.75	1083641.125	1046489.625	1085894.5	1055949.875	1190347.125
A6NHX0	CASTOR2	Cytosolic arginine sensor for mTORC1 subunit 2	1.19E-32	48107.06641	26802.09961	38066.13672	36496.69922	42039.58594	45267.14844	31942.18164	44574.84375	33426.92188	31302.12109	27832.52734	32167.67383	39346.17578	39000.06641	28101.46094	31565.43164	37037.13281	40353.99219
A6NIH7	UNC119B	Protein unc-119 homolog B	8.88E-33	130939.5625	124062.1875	153912.2656	137166.1719	136767.3438	128760.2969	144723.2656	159473.0625	141390.6719	156897.5625	156348.9531	127727.0547	147974.8594	138343.4688	150786.0313	148184.9375	134451.0625	125967.5703
A6NJ78	METTL15	12S rRNA N4-methylcytidine (m4C) methyltransferase	3.28E-20	61654.10938	79066.4375	62771.72266	51648.72656	64128.84375	70375.94531	75632.67188	71798.39063	55319.58203	68100.58594	57179.73828	50362.63281	75090.22656	59228.75391	45000.4375	46318.84766	50109.79297	59366.03125
A6NJ88	SAGE2P	Putative SAGE1-like protein	0.001284897	NaN	294765.3438	NaN	NaN	NaN	NaN	308107	NaN	339520.875	NaN	NaN	NaN	367335.125	NaN	NaN	NaN	NaN	NaN
A6NK06	ACOD1	Cis-aconitate decarboxylase	0.007043392	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	18.08897018	NaN	NaN	NaN
A6NK58	LIPT2	Putative lipoyltransferase 2, mitochondrial	4.61E-22	126358.3672	108348.7266	125251.7656	132932.9063	117819.0313	129924.9219	146280.125	100506.2344	92332.6875	88397.51563	76160.86719	115504.8438	112680.2969	91766.95313	107715.0469	112581.75	120456.7891	101103.0859
A6NKD9	CCDC85C	Coiled-coil domain-containing protein 85C	1.11E-38	56918.39063	63490.58203	56783.82031	59402.1875	55396.01953	59130.53125	60130.07813	61726.96094	50303.78125	51446.54688	52861.87891	49277.65625	48981.59375	53440.48438	47914.87109	40619.44141	42497.08984	39121.19922
A6NKF1	SAC3D1	SAC3 domain-containing protein 1	1.27E-20	280017.3125	332569.9688	288489.8438	318639.375	292825.2813	291636	354990.6875	298563.6563	261958.7188	294921.3438	275440.4375	280677.1875	302350.6875	289989.5625	246251.9844	250388.2344	296784.9375	296091
A6NKT7	RGPD3	RanBP2-like and GRIP domain-containing protein 3	4.67E-07	276582.9375	356052.625	285690.7813	298080.1563	296056	301137.875	289049.625	303824.4688	251896.9688	236510.2031	284892.4375	278502.0938	267713.6875	267377.625	276138.2188	224939.5781	198778.5469	204412.8906
A6NMK7	CPSF4L	Putative cleavage and polyadenylation specificity factor subunit 4-like protein	0.008380764	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN
A6ZKI3	RTL8C	Retrotransposon Gag-like protein 8C	8.86E-28	43807.38281	19705.10156	27412.6875	25562.60742	30369.27148	51351.03516	32918.82813	46651.55469	47879.11328	33440.55078	51082.48828	35250.75391	53118.77734	30488.0332	39257.03516	41496.80078	25092.94336	32115.4668
A7E2V4	ZSWIM8	Zinc finger SWIM domain-containing protein 8	1.69E-29	116920.3281	82488.25	128472.2031	138442.3281	185694.2031	98282.21094	63584.89844	72885.69531	NaN	80474.25	115412.5078	70265.3125	89966.29688	106754.7578	114577.8672	81034.28125	73004.78125	101563.1797
A7MCY6	TBKBP1	TANK-binding kinase 1-binding protein 1	2.17E-09	181986.1563	193801.8594	146050.0938	176845.5938	167301.2813	159505.8125	182716.2188	172868.2344	144495.9531	157832.1406	147198.9844	107726.2656	158596.2188	150189.5469	144325.3125	106969.1172	127549	154697.4375
A8CG34	POM121C	Nuclear envelope pore membrane protein POM 121C	4.83E-27	346042.75	327123.3125	301224.75	368375.1875	336609.8125	350918.8125	410371.125	366216.3125	371224.9063	355739.1875	396112.1563	310623.625	345023.9063	348305	332070.0625	353110.6563	320056.1563	364903.4063
A8K855	EFCAB7	EF-hand calcium-binding domain-containing protein 7	2.03E-13	69088.92188	85453.10938	31912.25391	28394.19727	52397.24609	77332.23438	95034.60938	39650.56641	69944.98438	56472.10938	38757.50391	42768.55078	56955.92578	63606.34766	55885.68359	66267.05469	71958.86719	60986.9375
A8K8P3	SFI1	Protein SFI1 homolog	0.010439438	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN
A8MPP1	DDX11L8	Putative ATP-dependent RNA helicase DDX11-like protein 8	3.71E-27	3943534.75	3422147.75	1365743.5	2566757.25	1352294.125	2903442	695816.125	1048990.125	1463738.375	1520162.625	1345351	1375993.375	1224806.625	1367618.75	1324964.625	668111.5625	518689.375	713985.6875
A8MPS7	YDJC	Carbohydrate deacetylase	0.000322315	17405.75391	16941.2793	19386.36133	20750.9668	NaN	9835.984375	10808.47656	NaN	6894.892578	12090.30176	NaN	16192.30859	18888.41016	NaN	34439.58984	NaN	26643.50391	NaN
A8MT69	CENPX	Centromere protein X	5.25E-35	159670.6563	159470.0469	171454.7344	166783.3906	145191.6719	117199.0938	154126.7969	135082.7969	146978.1406	149442.2031	122429.4688	100768.1953	76260.91406	96438.0625	91088.40625	87067.8125	79238.88281	77961.75781
A8MTT3	CEBPZOS	Protein CEBPZOS	4.00E-11	281161.125	315642.125	261204.3281	360915.3438	326635.875	302455.5	378866.8125	307826.875	247083.0938	304159.0938	337824.3125	328257.5938	322586.0938	319183.375	295364.4375	279633.2188	289973.8438	340759.25
A8MTZ0	BBIP1	BBSome-interacting protein 1	0.000265885	NaN	NaN	NaN	54115.11719	13395.59473	16618.98633	NaN	34974.15625	21240.33984	NaN	16725.37305	NaN	15230.3623	NaN	14309.69434	NaN	NaN	13166.48242
A8MUU1	FABP5P3	Putative fatty acid-binding protein 5-like protein 3	0.002141739	138117.1094	114463.2578	158225.625	131876.25	NaN	135147.1094	NaN	110686	121106.8438	170718.9219	146323.4844	149661.2656	NaN	NaN	165524.1094	NaN	NaN	NaN
A8MVJ9		Putative histone PARylation factor 1-like	0.000306598	NaN	NaN	NaN	NaN	NaN	6933.312988	NaN	9087.324219	NaN	NaN	NaN	NaN	4661.615723	4087.919678	NaN	NaN	9937.631836	NaN
A8MVW0	FAM171A2	Protein FAM171A2	1.81E-27	122253.875	148378.2813	147072.6094	154363.7031	92422.72656	143590.5938	86330.73438	70096.4375	108098.3672	99034.09375	132040.0156	93565.48438	73830.86719	110540.2734	157500.7344	123783.8203	108454.8984	89062.82031
A8MW92	PHF20L1	PHD finger protein 20-like protein 1	1.44E-10	96287.90625	96438.83594	97600.03906	109528.2031	85720.33594	101531.0859	128649.1406	117189.6172	48982.26953	109721.2422	104559.2969	39649.58984	72652.86719	84870.39844	67663.5625	75467.78906	60761.26953	50006.42969
A8MXV4	NUDT19	Acyl-coenzyme A diphosphatase NUDT19	6.92E-23	35636.24219	40487.05469	28551.22461	34492.50391	39401.11328	38332.04688	30224	31473.08203	36333.375	37110.20703	34667.44531	31463.98242	39675.42969	40044.52344	44894.0625	43863.14453	38662.46484	46100.08984
A8MZA4;H0YM25;Q8N7Z2	GOLGA6L6;GOLGA6L22;GOLGA6L1	Golgin subfamily A member 6-like protein 6;Golgin subfamily A member 6-like protein 22;Golgin subfamily A member 6-like protein 1	0.002297305	NaN	NaN	13024.29492	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN
A8TX70	COL6A5	Collagen alpha-5(VI) chain	5.47E-16	NaN	NaN	3357.949463	NaN	1801.108032	NaN	2324.541504	1254.984131	NaN	956.4623413	1138.368042	NaN	2309.611084	2187.949463	NaN	2540.818604	NaN	NaN
A9UHW6	MIF4GD	MIF4G domain-containing protein	9.26E-25	49524.83203	37208.08984	45660.48828	59965.57813	49691.6875	48088.01953	43542.39453	34314.14063	25409.29102	34997.38281	29294.95703	31478.91602	32501.14648	29728.69727	43736.98438	31962.04688	29984.4043	19800.09375
B2RBV5		Putative MORF4 family-associated protein 1-like protein UPP	2.09E-10	130760.2891	156349.8594	NaN	NaN	147077.6719	179589.6875	243614.9844	158883.9844	270196.4063	126446.1563	166113.0781	NaN	24128.32031	151899.7031	164574.3125	156359.9063	202477.3125	148147.875
B2RTY4	MYO9A	Unconventional myosin-IXa	0.000485799	292526.2813	NaN	248034.8906	350076.625	234500.6875	234955.5313	128342.8594	NaN	100494.1172	NaN	159644.6406	76810.91406	NaN	122623.5703	93845.36719	71651.97656	NaN	93863.13281
B2RUZ4	SMIM1	Small integral membrane protein 1	0.000284683	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	2259.21582	2206.296875	5590.291992	NaN	NaN	1790.056152	8404.577148	NaN
B3EWF7	EPM2A	Laforin, isoform 9	3.86E-07	708069	844537.5	200092.4844	220418.75	204611.4531	387498.4688	169946.2656	180293.9219	286572.4375	333183.2188	342632.6875	156352.1406	166826.7656	330282.25	326203.0313	289036.9063	99077.42969	385026.7188
