Accession	Description	Sum PEP Score	# Unique Peptides	Y1L_1	Y1H_1	Y1L_2	Y1H_2	Y1L_3	Y1H_3	Y3L_1	Y3H_1	Y3L_2	Y3H_2	Y3L_3	Y3H_3	Y6L_1	Y6H_1	Y6L_2	Y6H_2	Y6L_3	Y6H_3	Y9L_1	Y9H_1	Y9L_2	Y9H_2	Y9L_3	Y9H_3	Y24L_1	Y24H_1	Y24L_2	Y24H_2	Y24L_3	Y24H_3
O75369	Filamin-B OS=Homo sapiens OX=9606 GN=FLNB PE=1 SV=2	1997.826	145	721210918.6	40475494.14	845448857.4	51157721.36	934029489.6	47246994.1	744193952.2	415847203.5	750140292.3	455237730.8	703035762.1	52054158.81	802623656.8	109699903.9	728274804.4	121533131.7	711142701.1	103537008.1	664966399.9	191846217.5	563872280.2	162499118.8	682011277.1	187607162.1	396574452.8	465929781.1	460689507.3	493275761.1	465514001	518865244
P07814	Bifunctional glutamate/proline--tRNA ligase OS=Homo sapiens OX=9606 GN=EPRS1 PE=1 SV=5	1923.422	115	898760095.3	23963361.95	951086235.2	31756200.23	1057411876	55250165.83	975609184	71257401.42	998125123.3	71489665.28	918716621.6	72627523.06	1121999164	175720197.7	934186916.8	150563760.1	915364132.9	146535780.1	807468574	229841373.5	779383785.9	211826344.5	945650619.8	278252588.1	590526226.4	678065866	605807413.4	710563948.2	664518485.6	826947913.2
Q01082	Spectrin beta chain, non-erythrocytic 1 OS=Homo sapiens OX=9606 GN=SPTBN1 PE=1 SV=2	1913.723	137	430506222.3	43657632.19	478401240.3	40164702.13	550103050.9	46862108.91	458263588.1	46364953.55	469971044.3	69446532.2	451788783.5	56010917.45	514492642.7	101403477.5	428262341.4	97738474.04	468674896.1	99721385.28	434830404.8	157799293.2	381512900	140671226	419132101.5	155314369.2	342087404.3	354151425.8	363951045.4	403450224.5	361640661.5	382618197.6
P13639	Elongation factor 2 OS=Homo sapiens OX=9606 GN=EEF2 PE=1 SV=4	1868.113	78	4716665640	390267200.1	4980082605	259719156.6	5749875376	265108864.7	4889487294	394654091.9	4527797915	561644212.5	4074749484	646917462	5282279844	946410039.5	4361585424	1080335026	4151817949	1524590099	4033148409	1263661689	3409205358	1688039869	4226655907	1642962029	2588214328	2861817826	2553891244	2917604608	2887174690	3300250937
Q00610	Clathrin heavy chain 1 OS=Homo sapiens OX=9606 GN=CLTC PE=1 SV=5	1866.594	83	1183429918	84522444.47	1214357485	76224203.98	1382175578	112896066.2	1197836424	158646334.6	1155260571	141773817.5	1052919596	125770962.8	1308756046	337103429.6	1108680365	256307968.6	1138596503	254294118.8	1061837465	409471116.4	845801927.8	322796685.1	1145571312	421162784.4	691974159.1	952213275.6	717806055.1	1043250311	819349943.6	1152410072
P31327	Carbamoyl-phosphate synthase [ammonia], mitochondrial OS=Homo sapiens OX=9606 GN=CPS1 PE=1 SV=2	1860.952	103	1372608233	53142618.61	1471610598	47095420.49	1823356208	60180200	1592804904	134366318.3	1657700007	138987048.8	1417072340	267073182.4	1734528222	301797797.5	1490091610	253561170.9	1489929637	265067742.7	1464825422	431864865.5	1209910174	362540456.6	1435662922	403505291.8	999471065.3	1201297839	1059326252	1246079110	1167659042	1389354500
P08670	Vimentin OS=Homo sapiens OX=9606 GN=VIM PE=1 SV=4	1824.279	74	4573409086	123308472.8	4250698248	101017965	4996283348	121640135.1	4070795874	300724436.7	4101222681	303346626.1	3954745655	308028345.8	4409255259	834592309.5	3760438399	716829522.3	3845027864	667788852.8	3570681035	1099053520	2765417654	838828289.7	3572698296	1072944224	2215524727	2513515213	2457577889	2833636691	2634595996	2971828327
O43707	Alpha-actinin-4 OS=Homo sapiens OX=9606 GN=ACTN4 PE=1 SV=2	1819.448	63	1319930779	30265123.33	1394531980	29657695.2	1533876802	30468202.86	1241193922	79001691.53	1225072108	83913364.26	1211852646	77150019.75	1416642259	240439133.4	1142718437	205844627.5	1195638232	213674842.5	1200009391	367511920.4	980297023.3	282151285.4	1183319837	352823237.1	723086567.7	819091069.7	739877339.2	847893023.9	802009160.4	942584724.1
P04406	Glyceraldehyde-3-phosphate dehydrogenase OS=Homo sapiens OX=9606 GN=GAPDH PE=1 SV=3	1790.764	41	13387701162	320521010.7	14808755579	320076809.4	16407195004	360721055.2	13179659636	845893776.2	13229420496	849917674.1	12056446012	815089259.1	15600318847	2325283741	12441080116	1905551272	12804135342	1909375209	12813029391	2992187198	11243744542	2732247236	12561272305	3144455262	8353572035	6994473461	8834210812	7338916400	9518876495	7610146772
P06733	Alpha-enolase OS=Homo sapiens OX=9606 GN=ENO1 PE=1 SV=2	1776.973	49	5715663635	152437320.7	6528439923	144146978.9	7287288660	167031505.5	5833896438	486594433.7	6077080279	456974624.2	5623411906	459879810.4	6821250830	1260927067	5329981967	983218985.4	5398186744	999464069.7	5907750047	1746721396	4410429186	1307581830	5641077561	1718409558	3761874873	3963045930	3826162129	4091497421	4310645354	4549693315
P11142	Heat shock cognate 71 kDa protein OS=Homo sapiens OX=9606 GN=HSPA8 PE=1 SV=1	1756.991	44	4884745816	108858779.5	5387786759	86839330.88	6128261996	107998525.1	5181367188	204431596.3	5084179067	192951949.3	4928510518	192668216.1	5710419454	514950290.7	4846619665	453139136.4	4755724371	467317842.9	4523081272	902261037.5	3745816152	752471939.5	4536248788	898748838.3	2889822661	2842603008	3073989639	3063725680	3239409132	3180339693
P14618	Pyruvate kinase PKM OS=Homo sapiens OX=9606 GN=PKM PE=1 SV=4	1706.33	57	4270176570	107015759.9	4893440754	106027610.4	5920355312	129875462.7	5237422062	393588996.3	4895320165	368496238.3	4504582775	334210677.6	6095408789	1053517150	5073805864	933678731.9	5178359328	866355899.5	4591180939	1367250403	3855305902	1179943876	4544795227	1372014095	2965999798	3109477588	2967121515	3249333068	3316146868	3582009920
P02545	Prelamin-A/C OS=Homo sapiens OX=9606 GN=LMNA PE=1 SV=1	1689.17	94	2581133190	1261181617	2693847855	731221467.1	3294124390	900750039.9	2448026673	749089286.6	2482759266	697420467.2	2350345138	1176276051	2637747137	1188065266	2253992781	1256704617	2314744145	1300492962	2143061263	1384053791	1850933963	1518547183	2221958618	1680169403	1315796213	2195487347	1486359676	2492324434	1542863899	2618604429
P05787	Keratin, type II cytoskeletal 8 OS=Homo sapiens OX=9606 GN=KRT8 PE=1 SV=7	1665.424	58	3750483462	109939620.1	3809518207	92450149.8	4392624602	121120961.1	3393526888	264876780.6	3494791195	280466755.3	3330151674	273122382.6	3514455146	610499777.1	3062891133	565504747.3	3412357560	623127125.7	3191215515	956705092.1	2805497678	833395365.1	3036463479	924160199.1	1858754938	2137783850	1895311068	2256560774	2030113829	2385205499
P11021	Endoplasmic reticulum chaperone BiP OS=Homo sapiens OX=9606 GN=HSPA5 PE=1 SV=2	1646.851	62	4302474643	129397640	4702461063	127930346.7	5082181197	147622592.4	3844164440	333657688.9	3912437605	325207451.6	3848062961	336333094	4222580442	818105109	3668222570	686888111.4	3669225412	693343394.3	3484654024	1117810176	2877674807	928056781.7	3333065764	1069712295	2027410583	3372858158	2141980535	3640038510	2272471869	3879168001
P10809	60 kDa heat shock protein, mitochondrial OS=Homo sapiens OX=9606 GN=HSPD1 PE=1 SV=2	1635.122	62	4448516489	104646352.9	4749794704	90348113.5	5374506033	117479620.4	4478702067	300010581.7	4681106997	307388123.5	4332197939	310976459.5	5025182737	731879035.6	4513401884	690876482.4	4516580767	692654972.6	3919964256	999804047.6	3570051007	904598830.3	4032200203	1038590343	2740956440	2517190851	2914739172	2755313326	3254086243	3004397983
P15924	Desmoplakin OS=Homo sapiens OX=9606 GN=DSP PE=1 SV=3	1633.702	181	336699572.8	46707951.88	370179662.7	50657497.44	464119578.5	57649015.5	470449466.7	77222320.42	378508700.9	96306837.4	525203999.5	74503953.89	402339181.3	160017568.5	310344092.5	144234109.4	346889150.5	167995339.1	306528492.4	217129677.2	220038399.8	182940360.7	267006079	220874694.8	114028923.6	444036618.1	124461173	472470441.7	125105530.8	551375934.3
P63261	Actin, cytoplasmic 2 OS=Homo sapiens OX=9606 GN=ACTG1 PE=1 SV=1	1626.283	20	9461766076	293232696.9	9372430304	196195565.8	10667442714	298540479.9	8592742700	541635739.8	7938637451	614206221.7	9095026926	631968625.1	9556656796	1593522496	8245243252	1396645813	8359051012	1231961289	7341888560	2119436328	6116467994	1706011076	7259769853	2011251901	4728314108	4171059624	4870623914	4503712489	5174565319	4753407196
P12270	Nucleoprotein TPR OS=Homo sapiens OX=9606 GN=TPR PE=1 SV=3	1614.355	149	412123923.7	13434821.75	434578306.8	12391520.42	477485873.3	17397304.03	358081967.7	27731141.27	362256595.5	29527312.31	352716130.7	29894314.85	379527115	65835914.94	360089726	67050294.81	361134794.9	68525483.16	327796116.9	107210599	309823934.2	91805259.81	340739977.1	103478657.7	248092473	237469588.4	277259847.5	284242396.4	301723813.4	292975231.4
P46940	Ras GTPase-activating-like protein IQGAP1 OS=Homo sapiens OX=9606 GN=IQGAP1 PE=1 SV=1	1613.537	105	781553006	76883084.27	868621184.1	44135725.86	997218174.9	44015779.89	815178898	88945541.26	848310254.2	67962842.87	774552516.4	128236094	873315249.1	219995113	730719252.3	184702241.9	801057078.9	188814679.4	721307804.3	246913229.8	648995831.4	233368376.3	730054395.3	272507038.7	475250669.3	627060845.6	494331646.6	639498509	523301363.8	691477994.2
P0DMV9	Heat shock 70 kDa protein 1B OS=Homo sapiens OX=9606 GN=HSPA1B PE=1 SV=1	1576.935	35	1386613761	42132951.55	1589076684	29984190.27	1878387305	41557420.56	1642099774	58983058.33	1590536994	62368678.95	1595749752	70584847.08	1770550157	140055208.3	1562798778	125576881.4	1505001873	128109375	1403549268	281008959.2	1182612073	238108410.7	1428694197	275629218	850962885	1117820887	919024972.9	1165293856	976285093.4	1276362760
P14625	Endoplasmin OS=Homo sapiens OX=9606 GN=HSP90B1 PE=1 SV=1	1520.165	75	2158935705	94717897.64	2327833026	101994526	2559572364	108480599.1	2050138503	272934369.5	1943040931	247157472.2	2040603400	260751435.5	2197081580	536997530.3	1895985561	505871880.6	1813922078	451543949.5	1794328548	679892627.5	1519190723	581923635.6	1798915205	700438232.2	1145465606	1951607425	1221451580	2087346128	1333884015	2291010116
P49792	E3 SUMO-protein ligase RanBP2 OS=Homo sapiens OX=9606 GN=RANBP2 PE=1 SV=2	1463.658	105	279689731.1	38450333.63	293708433.1	28166741.02	331126487	46541055.5	263283010.2	39642170.25	271110557.9	34312300.11	249455912.5	34410759.2	260712650.8	83341263.78	230836806.5	75476162.27	232912582.1	72057543.36	198868143.7	93549736	201677326.2	81545024.89	212991195.9	103145775.1	86947761.31	179295925.9	107296319	197260058.2	131786828.3	236640511.6
P58107	Epiplakin OS=Homo sapiens OX=9606 GN=EPPK1 PE=1 SV=3	1460.946	113	279970959.9	65499692.31	273621284.3	66620798.87	325589650.3	89292477.99	330993022.6	71377887.53	312826090.1	67929961.12	278767474.7	70965696.46	356060245.3	116169262.6	273014843.9	96455726.56	287458564.4	89856799.3	264014816.2	119146293.5	216453008.5	89301660.48	281218978.6	122035250	165570432.8	328040131.6	160381055.5	337292515.2	208660840.3	388051153.9
P31948	Stress-induced-phosphoprotein 1 OS=Homo sapiens OX=9606 GN=STIP1 PE=1 SV=1	1438.063	85	976619531.6	73182400.97	1070149759	23530098.02	1234998582	25044811.36	988185120.1	65278786.89	976664409.9	57750816.32	958419944.3	53206843.55	1078993642	142563127.7	971420715.1	129344049.5	935606113.6	126424166.3	890249855.7	214951596.1	758704118.3	173660544.7	931548788.8	211488647.5	565954924.6	545611660	573232098.7	579810819.8	639805427.4	616016587.7
P26038	Moesin OS=Homo sapiens OX=9606 GN=MSN PE=1 SV=3	1428.336	56	689806929.4	14645257.57	807233176.3	61702349.79	926851751.4	16971086.31	736739071.1	107072918.8	734080070.1	96067004.66	643326522.5	86556290.27	827868180.5	151994025.7	688077552.4	180202953.5	715095920.8	141970830.9	665047690.7	302392965.8	566476167.8	236915000.5	686316367.4	225534351.2	423624942.5	580471414.3	445452447.5	683562322.7	488938913.6	662866838.5
P00558	Phosphoglycerate kinase 1 OS=Homo sapiens OX=9606 GN=PGK1 PE=1 SV=3	1420.696	38	2829986224	66451240.69	3469838271	69597859.09	3578563999	82214465.81	3321023383	241140634.3	3145106838	224994004.5	3118235583	227527521	3783733519	609478707.5	3131402533	535427916.6	3049970201	537945321.3	2879939534	847954524	2167918422	657024084.2	2887641937	848710072.9	1929218224	2073042292	2014606303	2145298407	2124046131	2307087749
P42704	Leucine-rich PPR motif-containing protein, mitochondrial OS=Homo sapiens OX=9606 GN=LRPPRC PE=1 SV=3	1418.442	107	926678972.8	56080168.94	1037554059	68071901.39	1191726398	82963626	891987954.3	102849649.8	953273286.9	98433508.3	980783723.1	98066366.69	938214542.2	198826100.8	917299400.2	183047294.3	846959412.4	180417778	793855321	282957537.8	777352632.7	233924507.7	821129898.4	281169696.9	486081444.2	620820674.3	550171494.3	637276433.1	536892465.8	713524579.4
P05783	Keratin, type I cytoskeletal 18 OS=Homo sapiens OX=9606 GN=KRT18 PE=1 SV=2	1381.204	53	2623351744	55206348.16	2547459620	57828923.59	3356986319	76630604.5	2659629673	210775233.8	2655519766	184952056.1	2442706079	175314571.6	2937161561	499082205.5	2464162765	418600095.1	2510983658	420986241.1	2066969084	620749041.5	1882472178	544814301.1	2269089786	657691549.3	1369098223	1575571490	1686938825	1880826658	1752807556	1960424282
Q6P2Q9	Pre-mRNA-processing-splicing factor 8 OS=Homo sapiens OX=9606 GN=PRPF8 PE=1 SV=2	1364.036	120	487067102.9	24846527.75	467114438.4	20489595.76	518637430.8	26231597.84	366273736.1	41075417.94	392580748.4	36806762.7	355896064.5	37088634.77	472096136.9	77263112.38	337005168.4	67902390.7	344383985.8	74283849.91	330005926.8	128491561.3	297976828.9	110793920.7	348714028.9	138761989.5	192228716.3	279299886.7	198222207.9	318601269.4	211587643.6	328995494
P68371	Tubulin beta-4B chain OS=Homo sapiens OX=9606 GN=TUBB4B PE=1 SV=1	1353.682	2	196063401.8	4586285.938	212452436.7	3394777	285661847.5	5709723.813	218417754.1	15787447.88	223112629	16297211.63	205478095.1	15255743.66	249714291	41197063	214389450	34439101	219675288	36466111.38	197143819	54560539.63	162483226.5	44344192.56	190119509.2	52621038	135521558	133511011	125783782	123904662.8	142817846	135201466
P53396	ATP-citrate synthase OS=Homo sapiens OX=9606 GN=ACLY PE=1 SV=3	1346.76	75	957627115.3	27667637.3	1075137060	39915835.89	1198795843	35709985.05	977340811.2	84279919.58	1006327589	78483845.69	991024135.2	75216836.47	1071891768	209280280.8	917626462.5	177688327	881718086.5	166994424.3	854875377.9	274272862.2	701473621.1	225982327.3	903982377.1	282706280.2	533249758.1	743603398.5	577323984.2	801883389.4	628927585.7	855844153.3
P07437	Tubulin beta chain OS=Homo sapiens OX=9606 GN=TUBB PE=1 SV=2	1346.672	6	660275734.8	21042089.44	658674397.6	21546090.69	772671255.9	20885642.38	694075941.9	60323383.88	700459981.4	55026075.31	599793046.9	52404722.75	709126242.7	117889696.8	698698360.8	131161659.3	770828335.8	131987013.1	538893431.8	157145185	590434628.7	156826826.8	506214633.9	160181527.8	393335528.4	374896447.8	366882286.8	329076291.8	413108235.2	372250363.8
Q9NR30	Nucleolar RNA helicase 2 OS=Homo sapiens OX=9606 GN=DDX21 PE=1 SV=5	1336.855	76	525880881.1	12262882.73	590745897.1	13791753.13	671936005.7	17152505.54	750357074.9	36377264.86	799526460.1	40056237.81	720246870.1	36633962.58	978180285.9	113169231.3	714365155.1	83161668.61	893061615	116001167.1	638124538	126780737	572199478.4	126648386.7	739489045.5	146220719.6	549096861	361087507.7	568530189.9	394733994.8	622081695.1	401983440.4
Q9NZM1	Myoferlin OS=Homo sapiens OX=9606 GN=MYOF PE=1 SV=1	1324.776	122	454977908.1	9837943.461	419690200.7	10435511.67	455652675.6	10450428.03	428363172.3	19535042.98	410400864	24481353.09	400371048.1	16907989.13	466680434.2	66529749.11	336997735.1	47278559.52	397588986.6	57001453.83	354257524.5	90592283.8	300446329.8	79787384.8	376259312.7	99536656.06	228125652.8	209315701.6	236760647	248422905.6	257012209.4	258042985.9
P29401	Transketolase OS=Homo sapiens OX=9606 GN=TKT PE=1 SV=3	1322.448	55	2993155556	74660913.16	3307055394	80581015.59	3759189645	110742610.3	3064989155	219909965.9	3010860142	215141005.6	3007724357	248138069.4	3315955315	509067995.1	2855767271	449546103.2	2654140237	437588321.1	2797835962	757620074.3	2735987124	687682772.3	2928800457	783472869.4	1858896246	1692189848	1955374603	1787496421	2155351887	1945897653
P78371	T-complex protein 1 subunit beta OS=Homo sapiens OX=9606 GN=CCT2 PE=1 SV=4	1307.393	52	1209528560	36419439.22	1365721672	32336892.97	1648631152	32685161.59	1427048146	132890746.2	1460732316	130971787.5	1356746995	158349310.8	1638922021	369104612.9	1434483417	315430108.8	1374906419	352294697.6	1274119791	467857261.8	1052675864	389731923.2	1272222852	471257176.7	852163395.3	1097404765	877231780.7	1131701381	947336639.8	1237253388
P09651	Heterogeneous nuclear ribonucleoprotein A1 OS=Homo sapiens OX=9606 GN=HNRNPA1 PE=1 SV=5	1297.246	12	1082397482	21065855.28	1064741843	23793633.91	1185795908	18177180.72	898497191.3	60544918.06	872648137.2	58369781.81	939474351	66387711.88	960365409	153360184.4	934756201.8	148386375.5	880454262.3	158512461	862849876.9	214891902	751523572.5	194996576.7	953877849.4	237537027.6	538892691.2	487501964.3	622802278.5	560926761.7	656608380	587679386.9
O75643	U5 small nuclear ribonucleoprotein 200 kDa helicase OS=Homo sapiens OX=9606 GN=SNRNP200 PE=1 SV=2	1291.1	108	289549675.1	66918081.06	320531298.5	59686271.52	342817324	104862614.9	355265876.2	90545713.27	381019031.3	128564934	319905689.2	84597729.38	387382485.3	155808479.5	327813139.4	124173609.2	317435294.2	115252769.3	253822479.5	162010508.9	228474422.1	147359337	287930356.5	187511141.2	148456276	352684594.7	170499956.3	365297453.1	182201170.7	424201673.1
Q00839	Heterogeneous nuclear ribonucleoprotein U OS=Homo sapiens OX=9606 GN=HNRNPU PE=1 SV=6	1284.65	56	2024145177	52268213.47	2253354449	51539515.52	2559507373	57586897.25	2045036628	148300470.7	1987487325	153634878.9	1935339498	138070149.5	2245029235	367916971.9	1876245102	308464076.3	1846705964	303325034.5	1756307535	479413291.4	1444148362	401248176.1	1919167864	506817078.9	1227739360	1136370201	1282676461	1207927129	1362594115	1365890005
P68104	Elongation factor 1-alpha 1 OS=Homo sapiens OX=9606 GN=EEF1A1 PE=1 SV=1	1276.449	19	2461932283	64481298.54	2691733968	50975326.88	3033167692	64831096.81	3010194926	162690609.8	3505396612	173477391.3	3236103578	165399778.6	4038457410	493288312.5	3357383350	391282791.3	4444335034	448372661.9	2831630379	496269333.4	2669488879	466336245.8	2944662063	524649078.7	2071409152	1254727397	2546908344	1555930902	2297183686	1436671007
P18206	Vinculin OS=Homo sapiens OX=9606 GN=VCL PE=1 SV=4	1269.021	93	823142737.8	35312429.98	945432626.4	33124116.81	1079914731	29233454.92	852556788.1	56104439.86	863537567.4	55293305.67	766412675	64720506.82	884814383.3	144568078.1	781615154.3	140824846.1	793922372.1	151413068.2	742620122.6	212685560.3	628683719.6	181963975.2	765664916.7	224941254.6	434317092.1	420802005.9	473164422.6	433370445.7	516730603.2	474388111.7
Q7KZF4	Staphylococcal nuclease domain-containing protein 1 OS=Homo sapiens OX=9606 GN=SND1 PE=1 SV=1	1232.72	74	895686915.4	52825123.22	1026805627	66361620.7	1122236523	63793617.72	949716525.4	100788791.9	929041663.4	120576914.1	879754495.9	113090091.4	1024775934	220079133.3	885031487.2	203103757.2	832316648	185165921.3	746929929.8	291204175.8	626617471.9	245752953.3	818271574.1	318121796.7	452023326.2	741494806.1	465681615.9	785892072.2	520087791.7	904524706.9
P12814	Alpha-actinin-1 OS=Homo sapiens OX=9606 GN=ACTN1 PE=1 SV=2	1217.887	37	450894241.8	17454005.25	474673336.1	17102072.31	532884345.8	20720422.06	439028663.3	33053681.34	415307919.3	34882963.72	425522385.5	34677643.08	473363851.8	82808687.5	410269497.6	68742558.14	392915303.2	67587455.5	364660115.8	118792492.3	322123172.7	104874577.5	408052135.6	130870177.7	259454714.4	297567720.6	269351198.2	326304393.7	301959928.2	368649485
P34932	Heat shock 70 kDa protein 4 OS=Homo sapiens OX=9606 GN=HSPA4 PE=1 SV=4	1210.822	69	689846804.7	49508878.63	766419642.5	42770527.05	830814540.3	57200142.06	641026160	67052300.21	659137728.4	59210618.73	601321588.1	65260943.47	679196558.1	143570524.9	587514945.7	142614748.6	594598229	110456681.6	607380519.4	168798605.5	498897806.2	142532991.7	590838180.7	176622886.9	361789328.2	395735277.8	374590124.6	384822442.5	378367847.8	462926598.8
P38646	Stress-70 protein, mitochondrial OS=Homo sapiens OX=9606 GN=HSPA9 PE=1 SV=2	1205.825	56	1890630550	50416016.7	1886486653	57052911.45	2053725959	53778267.45	1639302188	129141564.9	1645249527	137453458.8	1565796900	134719873.1	1723836503	314362334.9	1497025847	288862830.4	1451109412	282317851.8	1416311279	445739172.8	1191018806	388755428.8	1351732847	438111924.2	847063582.3	980119718.8	859808871.4	1060430811	963939405.9	1134869391
P09874	Poly [ADP-ribose] polymerase 1 OS=Homo sapiens OX=9606 GN=PARP1 PE=1 SV=4	1203.434	71	605129063.8	12936043.63	656217353.4	14095051.7	752813654.1	30148082.5	627358320	55471290.81	656666999.5	37875661.38	564755053.3	64799557.27	684804153.2	88205421.3	564989068.8	67606864.3	550366058.1	76384468.16	519338373.7	129428834.2	466307407.2	128071672.2	556715320.6	132688662.9	377634319.8	304032619	394450040.7	361397219.4	432795001.1	360373309.4
P19338	Nucleolin OS=Homo sapiens OX=9606 GN=NCL PE=1 SV=3	1196.145	55	2265346727	52467164.75	2284200496	48859420.2	2504820142	77168106.32	2123693666	170299985.7	2078545915	161586458.1	2035606390	133867023.6	2368035646	369316547.1	1976040614	335015043.4	1896195465	319176778.3	1877272355	523054167.2	1693702591	470438488.9	1792820929	505976733.2	1269406125	1210137874	1306352474	1143147864	1449647287	1249497616
P07355	Annexin A2 OS=Homo sapiens OX=9606 GN=ANXA2 PE=1 SV=2	1190.894	51	2006847542	57424069.41	2267564572	63818175.76	2849592453	78900091.14	3090617105	263870387.6	3303891289	280018310.4	2546930428	215155957.6	3009087684	579412266.3	1991436079	412193616.4	3102918506	675908164	2403908470	848084769.9	2155250989	780191166.5	2219675817	796130967.8	1693320212	2088725334	1419992778	1775998102	1445352143	1766648267
