Accession	Description	Sum.PEP.Score	X..Unique.Peptides	Y1L_1	Y1H_1	Y1L_2	Y1H_2	Y1L_3	Y1H_3	Y3L_1	Y3H_1	Y3L_2	Y3H_2	Y3L_3	Y3H_3	Y6L_1	Y6H_1	Y6L_2	Y6H_2	Y6L_3	Y6H_3	Y9L_1	Y9H_1	Y9L_2	Y9H_2	Y9L_3	Y9H_3	Y24L_1	Y24H_1	Y24L_2	Y24H_2	Y24L_3	Y24H_3	S1L_1	S1H_1	S1L_2	S1H_2	S1L_3	S1H_3	S3L_1	S3H_1	S3L_2	S3H_2	S3L_3	S3H_3	S6L_1	S6H_1	S6L_2	S6H_2	S6L_3	S6H_3	S9L_1	S9H_1	S9L_2	S9H_2	S9L_3	S9H_3	S24L_1	S24H_1	S24L_2	S24H_2	S24L_3	S24H_3
A0FGR8	Extended synaptotagmin-2 OS=Homo sapiens OX=9606 GN=ESYT2 PE=1 SV=1	109.293	18	33215622.83	422925.875	25195588.53	NA	32342382.92	NA	27772806.42	244302.2031	26918634.41	565155.207	23480295.61	268241.6563	25636033.72	2068538.898	27907482.56	1794237.883	26282003.59	1276886.391	141644524.8	4302653.531	14209797.73	2643557	136226644.5	5848629.008	11378618.38	11691746.95	10605590.38	13972534.75	11623601	16297288.81	20545663.91	1984739.641	25273620.31	NA	16805309.94	1945323.094	21645180.06	2068821.281	23310977.53	316198.375	22863331	3505000.645	165832677.9	894216.7813	158305753.4	1931136.055	17940918.44	919299.2188	161164171.8	4299041.648	155387693.7	3121798.359	16461412.03	1888632.023	7963218.203	3166840.281	10613438.58	5065993.211	8238192.148	4642178.734
A0JLT2	Mediator of RNA polymerase II transcription subunit 19 OS=Homo sapiens OX=9606 GN=MED19 PE=1 SV=2	9.048	2	3080827.75	NA	4076064.938	NA	4179739.344	NA	4887981.375	NA	3427040.188	NA	3303080.594	NA	3451757.531	NA	4300350.781	NA	3849188.656	NA	2982504	NA	2985371.188	NA	3656308.656	NA	1940976.625	NA	1876546.25	NA	2670124.125	NA	3940036.375	NA	10615696.31	NA	3758773.938	NA	5318328.063	NA	5698208.594	NA	6493587.563	NA	5216417.375	NA	3517612.313	NA	4081620.5	NA	3292892.25	NA	3197744.75	NA	3769733.094	NA	1654637.5	NA	1947203.5	NA	1392541.719	NA
A0MZ66	Shootin-1 OS=Homo sapiens OX=9606 GN=SHTN1 PE=1 SV=4	198.46	30	62427584.22	6034959.594	69970665.56	3057205.281	73768920.97	5439582.813	61487187.09	6122239.781	53421991	5379988.234	54524737.78	3292802.125	61994860.53	6547705.625	51407099.34	6623134.047	50962091.22	8478524.438	45025541.88	11467595.31	35914385.75	9459024.25	42845980.31	11548404.72	22072972.75	26602843.31	22673675.47	26435405.44	27690370.44	28528136.56	56103307.97	1166062	72185580.25	4429563.969	61102721.3	4046984.969	72897840.16	8923092.281	60823911.81	4954254.313	61210644.38	3756800.375	58048845.47	6042272.906	55156453	5979350.25	52203765.03	7299923.406	47886717.69	6445676.688	40959779.38	7563544.656	47269904.38	9296118.313	22586515.19	13191312.22	22137631.44	13617691.63	25160572.19	15310982.31
A0PJW6	Transmembrane protein 223 OS=Homo sapiens OX=9606 GN=TMEM223 PE=1 SV=1	4.122	1	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
A1L0T0	2-hydroxyacyl-CoA lyase 2 OS=Homo sapiens OX=9606 GN=ILVBL PE=1 SV=2	106.972	12	34258786.53	59691885.56	31713040.63	60688832.06	31725414.16	63242591.25	29826025.06	46948095.08	25908086.19	48138430.44	30429556.16	47324652.44	31539270.56	43482609.06	28237665.86	37785546.05	26092412.91	54817709.47	26207089.22	68294061.69	24404380.44	65392238.36	26589728.19	45223631.84	18584071.19	35708661.59	17439393.16	38328513.5	23530586.39	44824292.56	33284597.19	56369721.75	37232241.38	89019320	33611397.03	77449659.88	32829909.28	53277514.55	32841205	62789197.45	30221990.53	51014626.86	25426385.44	44575751.47	27016411.38	43850140.16	27681870.06	43997792.06	24316540.94	36415923.84	26313919.75	38717369.5	27236255.81	37212466.84	13930930.75	22810714.75	14651959.14	24647932.88	13721298.55	28454431.88
A1L390	Pleckstrin homology domain-containing family G member 3 OS=Homo sapiens OX=9606 GN=PLEKHG3 PE=1 SV=1	10.299	3	NA	NA	NA	NA	85694.38281	NA	263169.5625	NA	128317.5547	NA	131669.5781	NA	NA	NA	NA	NA	86985.60156	NA	108296.3125	NA	NA	NA	115199.25	NA	NA	NA	NA	NA	NA	NA	306625.0313	974512.875	1093041.844	1543474.125	1013143.156	1547384.25	814734.9688	938328.8125	1325351.125	1293520.875	428716.5	1007083.063	178194.2188	644754.4375	670060.0313	1029246.063	240689.75	838162.3125	NA	NA	371467.3438	656198.75	NA	661590.5	NA	345880.9375	NA	414052.1563	352831.0625	NA
A2RTX5	Threonine--tRNA ligase 2, cytoplasmic OS=Homo sapiens OX=9606 GN=TARS3 PE=1 SV=1	40.666	1	518113.0938	NA	701465.8125	NA	791306.0625	NA	457893.2188	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
A2RTY3	Protein HEATR9 OS=Homo sapiens OX=9606 GN=HEATR9 PE=1 SV=2	1.578	1	7005856.75	NA	7896685.25	NA	7576819.25	NA	5076396.25	NA	6443666	NA	5343668.5	NA	7145177.25	NA	5821217.75	NA	5587776.75	NA	4785272	NA	5027115.625	NA	6132707	NA	3161014.5	NA	3333579.125	NA	3145237.125	NA	1674820.5	NA	1427911.344	NA	1641202.375	NA	1415305.625	NA	1722992.156	NA	1331726.406	NA	1496441.813	NA	979861.375	NA	1160516.625	NA	1110045.375	NA	1976910.031	NA	1512774.625	NA	1078273.5	NA	1257127.25	NA	1229836.625	NA
A2RU67	Protein FAM234B OS=Homo sapiens OX=9606 GN=FAM234B PE=1 SV=1	8.106	2	1092882.719	431510.375	955672.1563	NA	849371.375	NA	770543.7813	438358.9063	869493.5	303853.5	756337.7188	353150.25	835739.0938	419088.75	763258	422677.75	705677.2344	517760.5	753257.4375	644179.625	771053.8125	282505.125	859025.5	606595.6875	NA	650978.375	NA	459501.9375	NA	749274.75	4913071.594	462844.9688	6995738.563	473577.7813	7069277.5	467595.6875	7654978.531	687541.625	5782035.25	725005.625	5842844.75	731605.9375	5154974.781	825035.0625	5141692	517411.8438	4680428.719	794900.1875	3097303.219	730484.9375	4335246.25	813052.125	3029296.156	803298.8125	1889890.625	709293.8125	1794013.875	501145.0938	2079105.281	649182.875
A3KMH1	von Willebrand factor A domain-containing protein 8 OS=Homo sapiens OX=9606 GN=VWA8 PE=1 SV=2	17.517	4	3171181.969	1069805.125	4158250.531	NA	4294966.188	1418729	3575725	1426056.875	4270408.688	1470808.625	3664328.938	1373863.75	4323290.938	1640565	2850886.125	1764870.125	4091426.063	1770210.25	2236858.594	1412299.125	1662761.781	1469671.875	4755917.656	1560145.75	NA	NA	1726690.25	1181819.625	1250499.813	1159160.5	2399090.5	610812.0625	2803984.25	NA	2489680.75	643319.625	2460506.813	875995	2417123.125	729359.8125	2855257.5	725610.5625	2258122.938	NA	2347573	572906.625	1857315.063	610175.375	2069755.688	502282.0938	1829033.625	521907.2813	1684091.625	653871.3125	917511.6563	386469.25	576794.6875	NA	1041217.188	687261.125
A3KN83	Protein strawberry notch homolog 1 OS=Homo sapiens OX=9606 GN=SBNO1 PE=1 SV=1	60.934	11	13764980.41	NA	8748242.188	277352.3438	11468937	NA	8893019.563	384103.5	11422301.13	349409.7813	12600482.81	280845.8125	7153339.344	1251417.5	9951441.25	786351.9063	7190300.75	2357917.25	11494565.63	1248052.25	5603759.563	1900182.188	5874439.75	1322086.875	3982040.75	9819344.938	5258131.5	8743037.375	2665354.719	5166589.313	14931116.5	NA	13975038.19	NA	22294925.56	NA	17897396.75	459620.8125	18432179.94	NA	19593987.75	442642.3125	13271020.41	278769.5	14407189.38	1333273.938	14041544.38	1730973.781	4765283.25	2028909.625	7452627.938	1464940.75	3295903.375	1722873.75	1833227.188	2345184.188	7380551.375	1702973.75	7916948.719	1881959.063
A4D1E9	GTP-binding protein 10 OS=Homo sapiens OX=9606 GN=GTPBP10 PE=1 SV=1	35.441	8	5119805.813	1080587.234	5778523.375	1874486	6950893.563	2275740.5	5544292.031	2230322.156	4565526.438	1804201.641	4062059.063	1842746.531	6133526.656	2983914.25	4345783.219	2582583.031	4596441.531	2209788.875	3939913.938	3396768.563	3198404.594	1967831.75	3990938.719	3040895.375	1341268.188	4598476	1543593.5	3543506.875	829300.5	3471727	4165230.219	977622.375	5793778.031	1953231.719	4703736.031	1245260.625	5134141.844	1821859.813	4384755.906	1824088.844	3794823.766	929534.125	3473660.5	1863426.5	4297177.969	1815720.813	3382614.5	1957072.672	2341418.25	2465613.656	2622730.406	2046980.375	2562008.656	2711733.594	473706.75	2151090.375	809312.0625	2244656.25	1008029.75	1932066.5
A4D1P6	WD repeat-containing protein 91 OS=Homo sapiens OX=9606 GN=WDR91 PE=1 SV=2	4.343	2	399580.8438	NA	484288.25	NA	785068.8125	NA	551235.25	NA	471603.125	NA	457283.2813	NA	369652.9063	NA	520575.8125	NA	435610.9688	NA	528431.375	NA	NA	NA	427301.0313	NA	NA	NA	NA	NA	NA	NA	565951.1875	NA	549554.4375	791329.5	585047.0625	408585.1875	711002.0625	1212610.25	657639	1092744.875	450926.1563	904544.375	493621.7188	1036291.5	515846.6563	914578.75	526896.875	1069679	450908.8438	1216573	412508.875	1181018	334457.25	932292.1875	NA	1290995.375	NA	1839521.125	318041.4688	1334374.375
A5A3E0	POTE ankyrin domain family member F OS=Homo sapiens OX=9606 GN=POTEF PE=1 SV=2	169.869	1	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	3748564.625	NA	4335268.5	NA	2200536.188	NA	4507958.75	2020124.5	4168591.75	NA	3933404.125	2658022.5	4782491.063	NA	2082096.625	3183284	1510086.375	4277399	1519746.875	4582156.5	NA	NA	NA	8895982	NA	NA	1183296.375	8452542	NA	10303050
A5D8V6	Vacuolar protein sorting-associated protein 37C OS=Homo sapiens OX=9606 GN=VPS37C PE=1 SV=2	2.831	1	NA	2177448.5	NA	1734580.375	1416835.375	1718402.125	NA	1254332.875	1562702.25	1363515.75	1035177.875	1621067.125	941253	1767901.375	805918.875	962793.9375	1084154.25	1199750.25	723847.8125	1416810.5	NA	1178820.75	NA	1240605	NA	745109.5625	NA	759991.5	947687.8125	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
A5PLL7	Plasmanylethanolamine desaturase OS=Homo sapiens OX=9606 GN=PEDS1 PE=1 SV=3	6.254	2	1697905.125	NA	1423165.25	NA	1727677.875	NA	1250784.75	NA	968004	NA	885474.5	NA	1135463.375	NA	521596.6563	NA	814505.3125	NA	749676.5625	NA	615978	NA	422213.75	NA	NA	NA	NA	NA	NA	NA	2318412.375	NA	2573422.625	NA	2366935.063	NA	946818.375	328452.3438	766953.3125	NA	1314422.469	NA	395175.0938	274820.4063	658462.5625	474180.1563	414685.25	NA	485485	524256.8125	650299	528756.5625	NA	457843	241945.0313	635551.8125	272111.8125	526729.4375	NA	718729
A5YKK6	CCR4-NOT transcription complex subunit 1 OS=Homo sapiens OX=9606 GN=CNOT1 PE=1 SV=2	208.549	44	76423619.63	11980770.2	74984197.72	10265332.94	91364218.22	14825151.42	75068674.78	11410745.17	71841836.75	12409329.06	65254789.94	8001804.75	75934275.69	18333484.16	66001487.41	15763191.75	71318101.66	17442498.66	73869355.81	20867474.88	55337056.92	19608896.08	72018375.84	25734861.5	49982344.23	43286594.63	50644422.97	48309534.63	47456033.78	52621115.63	62847367.66	7253932.719	73090477.13	7170248.438	58929455.66	6172715.875	66557871.5	7464487.594	54773385.94	8400537.563	60482000.91	6270059.063	48459963.59	11818514.11	51014862.59	9400358.125	47472724.22	8474912.594	48350916.78	15058606.59	47494934.91	14621027.7	55799419.69	14736420.28	22027457	18709965.22	21000056.53	20913020.41	25754417.16	19927861.25
A6BM72	Multiple epidermal growth factor-like domains protein 11 OS=Homo sapiens OX=9606 GN=MEGF11 PE=1 SV=3	1.906	1	1598565.875	NA	560843.5	NA	737675.5	NA	562211.5625	NA	513444.0625	NA	713143.125	NA	574623.375	NA	615390.75	NA	NA	NA	621537.875	NA	767009.9375	NA	1035642.563	NA	NA	NA	NA	NA	NA	NA	1241634.25	NA	2715195.5	NA	1835273	NA	1144337.875	NA	1353992.875	NA	691131.5625	NA	601473.875	NA	889336.9375	NA	647973.3125	NA	1191171.125	NA	1763787.875	NA	1040507.875	NA	2466122	NA	2838288	NA	3402591.75	NA
A6ND36	Protein FAM83G OS=Homo sapiens OX=9606 GN=FAM83G PE=1 SV=2	2.162	1	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	45879.64453	NA	89447.84375	NA	73975.35156	NA	53999.39844	NA	NA	NA	NA	NA	47289.16797	NA	NA	NA	139343.0156	180202.4688	164397.6406	167854.7031	91839.52344	251789.0156	NA	63259.57813	NA	65704.375	NA	171256.5703	NA	51009.18359	NA	78126.8125	NA	NA	NA	NA	NA	44152.13672	NA	70117.01563	60238.23047	NA	84771.57813	NA	NA	NA	69277.42188
A6NDG6	Glycerol-3-phosphate phosphatase OS=Homo sapiens OX=9606 GN=PGP PE=1 SV=1	182.387	15	99279227.25	1308878.797	116027795.1	3198354.016	129948982.5	1603118.969	107719125	5805107.281	105074830.4	4111241.188	104428097	3696468.625	117985750.6	15369287.19	106133745	13388601.94	97362927.88	11274842.28	98393084.13	21658810.69	74215147.44	16888027.88	98290850.94	23995480.13	58681587.88	51010407.5	60843384.81	47493717.94	66650471.31	59845744.63	94291950.94	531367.3125	127438160.9	2205249.141	106229266	213150.8906	130341831.8	2133952.813	118873034.6	2445367.781	113278601.3	1961151.813	98687530.06	3490366.031	105048637.3	4619615.438	103746930.5	3917535.375	90354826.13	5723520.125	97231136.56	9033956.313	98017577.13	9987996.406	52826933.16	21611261.19	54296640.38	20454327.78	72517097.56	27175190.13
A6NDU8	RAB7A-interacting MON1-CCZ1 complex subunit 1 OS=Homo sapiens OX=9606 GN=RIMOC1 PE=1 SV=1	41.328	4	5961780.906	764166.0625	8553304.563	1452042.375	7631329.375	2698349.25	7774091.25	1384995.438	7959588.75	2556350.25	7442610.625	1163037.75	5597483.313	1916316.625	5953609.125	1521328.625	5506783.5	1658787.063	3373569.063	2129196.125	2984810.688	1893811.656	6261006.5	1714820.375	4432540.75	8348031	NA	5892038.906	NA	6060323.875	6394159.438	1096565.406	9384290.125	1887710.063	7886868.063	1347642.688	7386037.25	1605797.875	7532175.938	1449466.875	5540612.375	1465166.844	6200739.125	1059849.125	5531248.125	1232366.125	4152529.625	963163.8125	5767802.875	1190376.875	3895331.688	1344964.5	4562945.125	2116578.688	2011220.188	1922734.375	644514.625	1400137.625	627339.0625	3960529.625
A6NED2	RCC1 domain-containing protein 1 OS=Homo sapiens OX=9606 GN=RCCD1 PE=1 SV=1	13.194	4	1038719.625	281563.5	642121.125	NA	467971.3125	NA	937217.0313	NA	960164.7188	423842.7188	269538.5	NA	1016967.406	528422.1875	771204.75	362342.25	NA	341270.2813	347548.375	565972.625	NA	423898.5625	456352.9375	472282.75	300938.3438	822505.75	NA	665839.875	NA	NA	NA	300133.3125	857842.25	NA	507337.2188	NA	NA	NA	660576.0625	NA	NA	NA	472879.8438	NA	NA	250021.4063	509987.2188	292780.75	356417.7188	356869.8125	290890.9688	468681.7813	388884.4375	331243.2188	NA	424572.4688	NA	433975.8125	NA	510317.5313
A6NFI3	Zinc finger protein 316 OS=Homo sapiens OX=9606 GN=ZNF316 PE=1 SV=1	6.27	2	346500.7188	5511899	987831.4688	5643488.5	1092911.938	7622035	NA	4031150.75	500065.0625	4394585.5	345730.1875	4281931	NA	6669931.5	290958.4375	4624405.5	430330.375	4529049.5	NA	4353384.5	NA	3232096.5	NA	3766255.5	NA	2858347.75	NA	2651858.75	NA	3124917.75	589211	NA	343366.0625	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	506604.625	NA	NA	NA	377237.625	NA	NA	NA	NA	NA	NA	NA	NA	NA
A6NHL2	Tubulin alpha chain-like 3 OS=Homo sapiens OX=9606 GN=TUBAL3 PE=1 SV=2	222.026	2	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	1889230.25	NA	1419849.5	NA	1705290.5	NA	1217280.125	NA	940180	NA	1166619.125	NA	1014868.313	NA	NA	NA	1222791.75	NA	NA	NA	1294852.75	NA	NA	NA	NA	NA	NA	NA	NA	NA
A6NHR9	Structural maintenance of chromosomes flexible hinge domain-containing protein 1 OS=Homo sapiens OX=9606 GN=SMCHD1 PE=1 SV=2	68.066	20	29855524.97	3019456	31755390.06	841264.9063	39434692.44	738640.0625	26083728.56	2923377.375	23575715.13	229342.4375	22850257.22	NA	28344901.31	1931495.156	22229068.44	1226832.234	21972499.5	2951087.5	21634583.13	2413276.203	19874766.63	2437701.469	22207644.25	3537530.219	14672978.13	6222605.375	13495696.5	5827987.563	15433952.88	8802653.188	11636975.13	4575064	17139335.56	886144.8125	14029412.38	1724528.063	16116734.75	1779053.813	14095478.19	1157376.125	13092214.22	NA	12420137.84	2646573.281	10676157	2212334.656	14510016.25	3013098.438	9905221.781	1901424.859	13035679.69	3624647.688	21409021.38	1723315.688	2987476.688	1890919.297	6184726.094	2844403.063	8990090.031	4948406.313
A6NHX0	Cytosolic arginine sensor for mTORC1 subunit 2 OS=Homo sapiens OX=9606 GN=CASTOR2 PE=1 SV=3	18.351	3	2015304.125	3524241.75	2568683.5	3238332.25	697411.6875	3585250.75	387325.9688	3564661.25	362734	3096465.75	363671.5938	2845958.25	424594.5938	4967357	282370.625	2666120	366972.6563	3488744.75	443813.6563	3564107.5	342190.4063	2344805.75	540393.875	3493659.75	1010253.594	2522788.25	390039.9063	2366035	NA	NA	1479154	2215405.25	2441352.25	3113436	1641221.938	2302140.5	2203221.563	5400037	1689836.688	4134279.5	1679987.031	4061878.5	1617428.281	3652802.75	1228376.531	4065689.188	1101245.688	3726203.5	1188206.938	4860108.563	1101833.969	4788083.688	996152.125	6209466.625	371698.8125	4591477.25	226899.7969	1158813.125	NA	4630668.5
A6NIH7	Protein unc-119 homolog B OS=Homo sapiens OX=9606 GN=UNC119B PE=1 SV=1	21.177	3	1363632.938	NA	1276761.344	NA	1207477.188	NA	724507.625	NA	1054813.156	NA	655075.4375	NA	1364221	NA	1231146.406	NA	1185771.563	NA	949496.3125	NA	680422.625	NA	815102.9375	NA	NA	NA	795050.3125	NA	NA	NA	531104.375	2591792.25	524887.875	NA	369579.5938	2545204	742102.625	2878717.25	549285	2757813.5	645638.4375	3065474.25	412206.5	NA	454680.9375	2836942	267898.3125	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
