Accession	Description	Sum PEP Score	# Unique Peptides	S1L_1	S1H_1	S1L_2	S1H_2	S1L_3	S1H_3	S3L_1	S3H_1	S3L_2	S3H_2	S3L_3	S3H_3	S6L_1	S6H_1	S6L_2	S6H_2	S6L_3	S6H_3	S9L_1	S9H_1	S9L_2	S9H_2	S9L_3	S9H_3	S24L_1	S24H_1	S24L_2	S24H_2	S24L_3	S24H_3
Q01082	Spectrin beta chain, non-erythrocytic 1 OS=Homo sapiens OX=9606 GN=SPTBN1 PE=1 SV=2	1751.313	142	390937392.9	24121555.27	481636138.9	51965002.31	425227443.3	37386428.89	477058272.7	52375520.56	434755473.3	47278919.84	402285840.4	51476589.71	368599170.5	80930209.86	392635822	76631447.48	343428126.4	71326332.24	370341636.7	122836526.1	362131711.2	112178343	354438523.2	124073648.8	230049168.2	272121417.9	236522739.8	265469302.8	256759064.4	293706514.2
P49327	Fatty acid synthase OS=Homo sapiens OX=9606 GN=FASN PE=1 SV=3	1724.955	131	1478675607	19683636.98	1908676015	33465615	1606031206	18287228.41	1858178721	54626023.44	1800327657	63673983.08	1701616038	52215807.28	1452502513	93584644.69	1526722553	100780134	1396245656	100248033.9	1397609473	175501507.1	1376171555	176575236.8	1506546497	191827921.5	678491845	365512075	715666977.7	371112917.5	900942380.9	443673377.2
P05787	Keratin, type II cytoskeletal 8 OS=Homo sapiens OX=9606 GN=KRT8 PE=1 SV=7	1711.388	59	4519841998	160455588.3	5421465793	190784061.2	4572201602	189464466	4567010860	468981046.8	4215236005	452763033.7	4125937368	396480035.8	3778929327	833022346.2	3926001468	860810834.8	3471440965	780574907.1	3580312719	1206113002	3450434935	1139219301	3323940125	1098504069	2530087650	2038669469	2488634758	2114979393	2496463563	2118138416
O43707	Alpha-actinin-4 OS=Homo sapiens OX=9606 GN=ACTN4 PE=1 SV=2	1708.207	66	1389023540	25544224.22	1704634957	28953865.42	1509083642	34860631.33	1617095435	93571746.69	1481567965	81499319.5	1360976874	84203593.95	1282112692	187121396.1	1291906305	200054442.3	1186492417	191325077.5	1142213352	293079194.8	1128615484	272917330.2	1236687497	321498388.3	708588466.8	557810464.3	693646125.7	545025336.9	844036489.3	665720979.8
Q00610	Clathrin heavy chain 1 OS=Homo sapiens OX=9606 GN=CLTC PE=1 SV=5	1681.264	88	1183418928	79021779.97	1457155559	73828354.69	1312651518	71260219.38	1462600138	124630911.7	1377235581	119794870.5	1339265464	130565888.8	1224890585	219786396	1228927802	233777170.7	1150076965	201174094.5	1115245673	286854236.9	1121825300	313331921.1	1315953096	343734073.8	689358921.9	579325573.6	699343709.9	592470783.1	862243356.9	742395800.8
P08670	Vimentin OS=Homo sapiens OX=9606 GN=VIM PE=1 SV=4	1643.848	70	4555161793	48302274.99	5351170348	52408879.79	4469821552	57774139.95	4914005280	238813322.8	4654183485	236606839.4	4380475844	206646062.2	4212271213	511898394.6	4078687196	500436185.7	3859320821	530921047.1	3584122002	712727473.1	3528665644	680678521.3	3794520015	744437714.8	2489525483	1562394425	2478245923	1487071724	2770985152	1684758317
P02545	Prelamin-A/C OS=Homo sapiens OX=9606 GN=LMNA PE=1 SV=1	1619.866	98	2865760698	1458010862	3506981633	1575637622	2920194537	1374092645	3168174866	1160837610	3158232867	1091190579	2821979324	995886742.9	2828692051	1241435099	2699570936	1356908345	2548490748	1177412376	2272416384	1508535779	2307682751	1512966651	2404107478	1461959862	1508121581	2104827037	1473706112	2110682417	1574761981	2279420574
P46940	Ras GTPase-activating-like protein IQGAP1 OS=Homo sapiens OX=9606 GN=IQGAP1 PE=1 SV=1	1562.287	111	892785996.1	41237033.53	1085091816	45514374.58	909225119.2	40787951.47	981185751.7	65236659.88	939844611.2	64003463.56	895669963.2	69070031.7	821868523.7	147607298.5	863408850.2	154480881.4	756233566.7	140449110.4	779576960.5	230460827	795454046	222756147.1	869892441.2	233309381.1	459627185	459199535.7	456068820.6	451951669.2	543782228.1	543684189.4
P12270	Nucleoprotein TPR OS=Homo sapiens OX=9606 GN=TPR PE=1 SV=3	1484.915	156	445084156	26848583.95	565441678.1	26231623.7	471790190.1	27210988.77	494476363.2	41332979.59	503722717.2	35571312.7	464784885.2	39406872.84	444650478.1	63837000.94	453879458.1	65773367.41	645275201.9	60806351.86	375586390	83339705.09	400393888.5	86915909	393858343.8	83488412.14	466299337.6	155610503.8	261424465.6	153878466.9	320508241.6	155860340.4
P04406	Glyceraldehyde-3-phosphate dehydrogenase OS=Homo sapiens OX=9606 GN=GAPDH PE=1 SV=3	1475.407	42	12311994249	220041628.6	14270340245	222048921.4	12972979554	207859426.7	14710920840	619739006.1	14163533799	651335461.2	13426518424	579775068.1	12278012927	1091155609	12860416031	1175957742	11523306930	1077849756	12249295290	1808814129	12012265474	1732142990	13395996397	1900023784	8774792480	3296676353	8277178503	3210060648	9800329482	4136476959
P13639	Elongation factor 2 OS=Homo sapiens OX=9606 GN=EEF2 PE=1 SV=4	1469.643	81	3940497700	486124325	4689450924	463922807.3	4170534597	461144529.1	4592914579	190088436	4589084547	546518448	4362991544	470772620.5	3795672195	738483638.4	3954400738	659632251.8	3679954726	627948593.8	3527391983	561892769.1	3537647646	569857465.6	3984838879	1106860875	1998797969	1210161688	2094709447	945029922.9	2599115653	1660719918
P14618	Pyruvate kinase PKM OS=Homo sapiens OX=9606 GN=PKM PE=1 SV=4	1447.369	55	3656601402	69271135.06	4302066398	59548016.19	3804214637	55646031.51	5052057212	244103059.4	4485377345	230843418.5	4519261904	215701895.8	4060892552	441362782.7	4242393727	453064051.1	4011217195	468160999.7	4049085139	795306983.9	3977541709	724504276.5	4556693440	829721399.5	2278892473	1379667571	2547137636	1491962350	2763210202	1593504724
P11142	Heat shock cognate 71 kDa protein OS=Homo sapiens OX=9606 GN=HSPA8 PE=1 SV=1	1447.296	42	4278800878	41034927.99	5296611420	39105420.81	4704532292	30370808.36	5326371951	101582146.6	4893843211	89565995.63	4518696823	83759892.32	4356610853	252525249.5	4390015215	259605664	4018077818	264109838.3	3992008021	476121557.1	3888656515	446684734.7	4494487033	513692985.8	2346371662	1100353398	2293628209	1051932887	2691071930	1212171076
P06733	Alpha-enolase OS=Homo sapiens OX=9606 GN=ENO1 PE=1 SV=2	1436.039	51	6219982122	86208318.52	8148214126	88273148	6859251208	65601114.66	7915015891	302883114.2	7286378126	266485427.9	6790200754	238804078.6	6542877993	502678630.2	6599604955	507829609.3	6095919898	498492809.2	6643692422	794613463.1	6205243457	722715014.3	7328035618	866733885.5	4134283746	1363270335	4032397821	1418827659	5113702608	1764645378
P31327	Carbamoyl-phosphate synthase [ammonia], mitochondrial OS=Homo sapiens OX=9606 GN=CPS1 PE=1 SV=2	1375.655	97	1349989121	812400715.6	1635677326	771142662.6	1468176185	577146682.8	1810997924	658690064.6	1490596978	496675448.9	1465419217	410361550.9	1523703592	530752968.8	1533177948	555705059.4	1517880170	409702153.9	1468976702	536612027.7	1510425495	562714878.1	1669370952	586041846.3	948963613.4	724461290.7	1020039628	681759206.8	1086867716	730384949.6
P0DMV9	Heat shock 70 kDa protein 1B OS=Homo sapiens OX=9606 GN=HSPA1B PE=1 SV=1	1370.437	35	1530499565	34338073.47	1938020103	25226874.59	1730042256	30046678.69	2081300601	83586396.53	1871671705	67086666.94	1685317181	50609112.11	1592552136	158714298	1689055130	161464649.8	1467213266	150970525.1	1408725275	280168465.4	1560106966	282846230.2	1580189867	305577033.6	840232168	702356127.8	864315004.2	649509319	963340967.7	742691040.9
P07814	Bifunctional glutamate/proline--tRNA ligase OS=Homo sapiens OX=9606 GN=EPRS1 PE=1 SV=5	1352.563	113	861466968.2	23596577.45	979533721.5	17339577.7	886583240.1	20244610.42	1118229436	33651652.2	952516770.2	22249364.81	870382886.6	34438035.97	851284844.9	53743937.75	894205169.2	56076956.23	812270697.1	53355759.21	820637607.9	83886499.97	835892384.2	87324928.11	947574874.6	97519507.77	505017905.8	164220276.5	551972107.7	172241141	601789792.5	221647594.6
P11021	Endoplasmic reticulum chaperone BiP OS=Homo sapiens OX=9606 GN=HSPA5 PE=1 SV=2	1345.211	62	3344557847	70698132.56	4207798741	79175731.26	3459157692	72062080.56	3609851087	181184067	3375122057	176329086.1	3123038756	148550908.4	3001470865	371709771.4	2950897383	360433217.4	2721271336	348020575.4	2596276918	601130977.7	2533141419	588938696.3	2803247564	633290130.2	1474313745	1348759888	1490566154	1310317350	1615755500	1444751556
P60709	Actin, cytoplasmic 1 OS=Homo sapiens OX=9606 GN=ACTB PE=1 SV=1	1328.647	17	9310294938	214048112.9	10399426395	226523914.3	9259953423	157082653.8	9870963404	375455720.1	10144058653	390973242.9	9979814373	287381328.4	9251816729	675799732.1	9083152635	616000885.4	8357124711	694525819.2	7781409425	862498439.1	7476823329	791477688.8	8129635780	1022760177	5152201437	1606613490	5314508959	1657221675	5624020345	1839066925
P05783	Keratin, type I cytoskeletal 18 OS=Homo sapiens OX=9606 GN=KRT18 PE=1 SV=2	1311.887	54	3125694091	59184750.27	3779722119	67871768.69	3103207535	65010312.89	3449850116	239290877.7	3133710149	246932369.2	3062161269	221679719.4	2772881023	531363591.2	2937471274	526793604.8	2400155430	450852801.1	2499074142	779631843.5	2536351711	738312815.8	2501946447	758377127.7	1660594991	1370830442	1516265172	1304877159	1726663168	1439257352
P15924	Desmoplakin OS=Homo sapiens OX=9606 GN=DSP PE=1 SV=3	1286.755	158	284591284.4	28951877.14	361098018.1	59323267.31	329156367.5	49029590.22	360272433.2	91444470.45	283623696.8	77843360.59	302690979.9	77852628.54	242938680.8	128986618.5	253976273.5	158522856	221707199.8	130240726.8	193439889.4	180855410.2	204646831	187663751	198165271	192097045.8	65905051.17	246052063	70894882.92	243809184.2	71644844.58	265860880.5
P10809	60 kDa heat shock protein, mitochondrial OS=Homo sapiens OX=9606 GN=HSPD1 PE=1 SV=2	1257.904	64	3688253039	51539283.08	4675003362	32272555.34	3968599056	38081398.17	4572411230	145362014.5	4174078677	144171992.6	3882603127	129847973.4	3906196349	296364036.7	4061562940	292784508.9	3681672456	274431874.5	3647873315	438970726.8	3757151349	441665554.7	3945678462	480137095.2	2500006362	990775521.5	2487053822	951861046.9	2794350950	1046615041
P46013	Proliferation marker protein Ki-67 OS=Homo sapiens OX=9606 GN=MKI67 PE=1 SV=2	1257.423	156	271862270.8	11711939.95	382866187.7	19126278.81	320420054.1	18732747.66	343809712.1	30096174.37	287894308.6	28141120.67	267334895.7	18076234.45	267497876.6	33316492.55	267182711.7	36884400.29	238173318.3	28732128.98	233201208.9	43641359.64	257348122.7	59000813.3	251202302.1	49924144.9	139138814.6	78503269.8	134314411.9	87723124.88	143284981.8	91158802.73
P26038	Moesin OS=Homo sapiens OX=9606 GN=MSN PE=1 SV=3	1255.622	53	605335077.4	24319736.45	732224077.3	32831096.55	636139483.2	104521901.2	813806087	59022111.41	804603635.7	150025156.2	810505190.6	70361770.72	661657836	196171198.6	705675372.3	209025528.4	676375826.7	119481599.5	645285658.3	282932290.2	629436533.3	165623473.6	701136859.5	183554661	362657077.1	336563908.7	402893399.2	360000925.4	462794023.7	401368481.8
P58107	Epiplakin OS=Homo sapiens OX=9606 GN=EPPK1 PE=1 SV=3	1238.813	128	412491785.4	75313565.13	513546661.7	93872906.06	476787975.5	77021652.63	541372979.6	109978954.5	441916481.3	90789555.25	456149652.8	97314426.1	423211373.5	114267158.6	426653690.3	108160937.8	343521100.8	97292361.44	355997392.6	121138839.3	461803888.9	128289634.2	480243492	149861052.5	234232448.3	137744870.5	233559929.9	149017742.6	258430749.1	154668287
P14625	Endoplasmin OS=Homo sapiens OX=9606 GN=HSP90B1 PE=1 SV=1	1230.24	72	2045032824	62121036.7	2435466560	63125988.48	2034954522	41312671.84	2229627969	190027147.9	2147474258	196979246.3	1965728535	219138554.9	1815548162	343610645.1	1769343211	332813748.2	1685671719	326551262.1	1525182066	415197254.4	1503521251	386912415.4	1587533792	410474847.9	863491028.3	847104415.5	867319284.2	859865289.6	939676882.6	885326823.4
P31948	Stress-induced-phosphoprotein 1 OS=Homo sapiens OX=9606 GN=STIP1 PE=1 SV=1	1217.338	83	918138824.8	12926361.7	1100532800	9660502.602	970921346.8	9909186.445	1063075374	35065576.06	991048356.6	35953266.88	923881395.3	31769187.56	827050318.4	103765362.6	856214684.8	73649779.2	811918606.3	69241108.98	756970633.7	114186368.2	737378353.3	107321146.5	798981009.4	112135647.2	439120466.3	247392378.4	455015506.4	245495814.2	524566203.8	300445341.4
P49792	E3 SUMO-protein ligase RanBP2 OS=Homo sapiens OX=9606 GN=RANBP2 PE=1 SV=2	1204.23	103	265610182.3	33193092	333637755.3	39721087.97	288518563.5	26729100.63	309964660.8	19873888.03	278352136.2	17355910.8	257760150.1	18654337.75	240505854.6	33901480.42	239433085	34914712.05	215671332.4	27258377.66	209754976	47184353.25	210593801.1	43342157.91	210151943.4	43152652.89	97960151.75	80788073.47	102942837.9	73482876.16	100115856.6	74981090.38
P18206	Vinculin OS=Homo sapiens OX=9606 GN=VCL PE=1 SV=4	1201.754	89	831158685	31077394.47	961781301.3	33134603.04	851975003.9	29875156.97	945209497.3	82796706.12	906830300.6	79847045.21	842545859.8	72932298.45	761757989.9	160648205.1	781646048	160938868.3	711897397.5	155948609.9	691220441.6	236002557.4	687818611.4	238092364.5	741135503.8	251766596.6	416070928.3	436427523.8	428047043.3	430605944.5	514506810.6	518773901
P12814	Alpha-actinin-1 OS=Homo sapiens OX=9606 GN=ACTN1 PE=1 SV=2	1194.081	39	476302225.8	20121469.13	607005763.1	23211197.75	511761488.2	16036865.56	571485608.8	45860467.95	530590830.4	37565480.15	509563320.4	42447226.63	481905834.6	78599159.66	492577127.8	78439436.08	448108936.9	78452664.58	420537193.3	122233906.2	424504633.5	109176929.8	468620376	127201759.8	252506290.1	250733468.1	251202232.5	245178366.8	295515679.1	300752361.5
Q9NZM1	Myoferlin OS=Homo sapiens OX=9606 GN=MYOF PE=1 SV=1	1180.368	122	388822385.9	6763529.086	447520902.8	15297413.73	361175142.6	15711518.69	451903159.2	16961910.8	394571568.4	19073678.45	372814285.9	16699239.17	370815711.8	53745023.53	349702963	53851721.27	344735196	46227153.69	381963125.6	96714235	354468847.5	99820656.81	361097171.8	89173941.38	202613229.1	170549361.7	205214292.7	176826398.8	241070946.2	189181427.8
P53396	ATP-citrate synthase OS=Homo sapiens OX=9606 GN=ACLY PE=1 SV=3	1180.33	76	1130329650	22712770.58	1285514173	31583915.71	1123427045	25965694.15	1312452206	70391093.09	1242149739	60388077.56	1168185829	54635579.14	1078673386	133566396	1095875218	122179668.5	1014017996	119703787.9	965859243.1	204281577.8	951981333	188087542.8	1065774591	211026152	558747102.3	420972942.2	538731742.2	416133505.8	667410018.9	499090145.7
P68371	Tubulin beta-4B chain OS=Homo sapiens OX=9606 GN=TUBB4B PE=1 SV=1	1175.743	2	229377913	3311295.75	285535648.9	3513509	218210691.5	3556558.75	274457927.4	16699201.56	250389836.4	16619445.97	246126294	16517761.38	234310633	34583245.5	221526133	32488373.25	228400445	35733792.5	191926846	45679125	188169209.5	45408324.88	219097517	51028591.25	122231440	81370925.25	122222164.5	77371634.13	131828652	84103367.88
P07437	Tubulin beta chain OS=Homo sapiens OX=9606 GN=TUBB PE=1 SV=2	1153.868	6	787548972	19221261	933683881.4	22606272.25	711756209.8	20299387.19	896290196	50123421.75	850465242.4	45793068	937645714.5	48593151.81	800867308.8	86365477.19	920059006.2	90886255	891097367.4	85513828.25	757111593.5	132089882.1	759077702.3	146477910.8	816336935.1	139747593	532505160.6	258662769	535747736.5	264310431.1	582092052.5	289741481
P09651	Heterogeneous nuclear ribonucleoprotein A1 OS=Homo sapiens OX=9606 GN=HNRNPA1 PE=1 SV=5	1152.809	3	302395444.4	1044048.156	448306105.2	1736358	348703369	1646509.594	380466301.2	7218964.25	348142456.1	6577398.938	282182155.1	5758456.375	278981030	11729899.75	302144758.2	15687851.13	271844120.9	11585323	262647284.3	18589588	263726570.1	17611960.75	270453601.6	18359047.63	174606921.9	28959261	191549282.3	32934724.5	205462859.2	32320652.75
P00558	Phosphoglycerate kinase 1 OS=Homo sapiens OX=9606 GN=PGK1 PE=1 SV=3	1148.801	38	2530210609	25657489.95	3546923630	31204804.11	3200869308	33653027.75	3984236617	159034557.8	3627577133	148161366.6	3246265092	135879737.3	3088483804	286110542	3312957887	309561210.6	2973361451	293234638.1	2777875144	425241878.6	2884297455	428439451.7	3271771699	493514182.8	1594124888	770186290.8	1752299620	845940677.3	2049392086	967782890.7
P42704	Leucine-rich PPR motif-containing protein, mitochondrial OS=Homo sapiens OX=9606 GN=LRPPRC PE=1 SV=3	1135.159	104	1003384963	68507207.16	1139169526	68259368.2	948559215.1	72849115.31	1101215973	96811029	925890803.5	95770618.91	884266931.5	98853086.63	835427437.8	129373156.6	810098989.9	137936381.5	776673691.9	124349803.2	710872144.4	164014886.7	688588328.8	167685780.6	780492512.8	182468106.2	413456607.1	317134220.3	443571209.5	317376081.3	492340200.6	360446530.7
Q6P2Q9	Pre-mRNA-processing-splicing factor 8 OS=Homo sapiens OX=9606 GN=PRPF8 PE=1 SV=2	1125.95	130	593369373.2	27568533.63	686302644	24668723.41	613318856	18659255.95	546188771.3	40288859.56	504742094.2	21189939.55	481957802.4	31850684.09	431985085.5	40418035.32	430474399.3	42096287.19	406209581.8	41954104.58	382045461.3	74443240.75	390410572.5	67662335.08	392625200.5	69119325.34	232518460.8	108812183	233091662.9	111034517.9	268206424.1	136916990.3
P34932	Heat shock 70 kDa protein 4 OS=Homo sapiens OX=9606 GN=HSPA4 PE=1 SV=4	1123.114	78	759182623.5	30289825.34	912407821	39679455.67	777677618.7	22719925.3	856783367.1	58080336.9	817069506.6	49382395.98	737663377.3	49625401.17	702487267.8	90658301.38	649793037.6	85915390.69	639546372.6	88438090.77	637551204.5	129911732	587114112.7	119796833.9	666159831.6	157266308.3	341305203.3	222303846.3	360810985.7	239686159.2	410841635.6	298561113.3
P07355	Annexin A2 OS=Homo sapiens OX=9606 GN=ANXA2 PE=1 SV=2	1107.801	51	2628652525	34624155.58	3495424072	48780483.42	2972897513	44209758.81	3322077769	203398819.7	2694122535	171197291	2654939169	166075168.7	2536632056	409242223.3	2635112040	435515198.4	2174461213	357692538.2	2673260110	730291568.3	2822557688	750488389.4	1971156931	530331290.1	1573773059	1426672042	1576497984	1419849256	1873967792	1613155988
P38646	Stress-70 protein, mitochondrial OS=Homo sapiens OX=9606 GN=HSPA9 PE=1 SV=2	1100.345	58	1991307194	33830886.34	2406125591	45879219.86	1996717956	40486072.16	2057011816	118771819.1	2007451335	104274658.7	1925762122	106462282.5	1765173239	217078024.6	1824941110	224674737.7	1728086202	219570373.3	1546303828	309663624.3	1544468135	302451541.2	1621587771	299613920.6	963402010.3	596514252.7	945423283.4	602710539.7	1061266464	643695653.8
P09874	Poly [ADP-ribose] polymerase 1 OS=Homo sapiens OX=9606 GN=PARP1 PE=1 SV=4	1066.921	74	576605028.9	30820444.88	763491848.3	11323754.88	644311634.2	13962014.59	790705789.9	25968358.16	700135459.6	58790482.7	685741768.5	25174411.49	667806206.8	86535681.91	653250634.8	80935638.95	674248986.3	58695492.64	635099834.4	99034092.06	650858706	95134259.52	710623903.8	96315137.34	373757528	170403137.4	405800540.4	190335576.9	437424282.8	200201026.1
O75643	U5 small nuclear ribonucleoprotein 200 kDa helicase OS=Homo sapiens OX=9606 GN=SNRNP200 PE=1 SV=2	1049.826	106	378976040.9	72467741.84	448814814.6	85723511.34	401678530	33060712.3	456314226.6	53353917.53	376311583.5	74961866.5	348480113.5	61263582.31	312599850.1	82021311.98	330906612.5	87650647.59	305367348.7	67495050.06	333863168	113419566	372381594.8	121047278	406759941.3	175829196.2	158537237.6	140657291.8	158204901.3	152832807	156056716	157263143
Q00839	Heterogeneous nuclear ribonucleoprotein U OS=Homo sapiens OX=9606 GN=HNRNPU PE=1 SV=6	1046.584	56	1953188845	32330058.22	2329640464	29507029.01	1978193193	31805979.68	2275901193	91933652.26	2114566684	90283281.22	1986990299	87492819.34	1968953488	176194498.5	1935295616	187396829.9	1816499040	171967861.2	1730079099	249163685.3	1700263530	233796975.5	1823855798	250429814.6	1003126930	405478934.8	1025311190	434437510.4	1141819072	467855995.8
P52272	Heterogeneous nuclear ribonucleoprotein M OS=Homo sapiens OX=9606 GN=HNRNPM PE=1 SV=3	1034.111	67	1171782728	38736316.99	1339018686	45688251.28	1221543570	47962932.31	1287459494	90525326.57	1193370773	81166226.84	1107454732	74822169.15	1062618906	152672867.6	1084531649	151840174.7	1026261231	153219621.5	906632372.4	220942049.4	978783736	225585721.6	898784921.3	212125898.4	516420765.5	371366206.8	527019830	369752312.3	535049169.7	383026001.1
P22626	Heterogeneous nuclear ribonucleoproteins A2/B1 OS=Homo sapiens OX=9606 GN=HNRNPA2B1 PE=1 SV=2	1021.935	37	2559615506	42827058.77	3108373657	45822656.88	2830528004	44794818.18	2991833866	134805637.2	2946445518	137593393	2645008734	123598903.7	2488224989	261550402.3	2531571820	263847935.1	2292296441	244312083.9	2005318741	331184619.1	2126471533	340115823.1	2179286993	341560114.5	1364912861	630527973.2	1423756022	651766581.4	1569125203	709804785.1
P78371	T-complex protein 1 subunit beta OS=Homo sapiens OX=9606 GN=CCT2 PE=1 SV=4	1017.812	51	912780576.6	8202793.156	1295707712	35055079.01	1175180481	18825081.42	1394748162	69366237.81	1187885926	58549356.05	1063933919	62657050.7	1006290942	122321823.4	1096896343	142196758.3	978005914.8	134304062.3	950993406.1	213626968	1044256119	246612209	1119917894	244210602.4	527417280.4	370958124.9	552584020.6	363600972.1	620274940.6	423495153.8
Q13885	Tubulin beta-2A chain OS=Homo sapiens OX=9606 GN=TUBB2A PE=1 SV=1	993.106	7	48994306.75	1278241.875	53989952.88	2456415.5	47093832.13	24142349.25	59086456.63	21774275.31	57538650.88	21860197.13	55922825.5	17075312.25	48618146.5	20214837.63	48809753.56	19267583.84	43345022.5	17435422.63	38635637.13	19431993.94	35604294.63	19329367.94	40116275	21103718.19	23600525.75	22483280.69	25298152.19	35238844.88	24052388.19	27835292.38
P55072	Transitional endoplasmic reticulum ATPase OS=Homo sapiens OX=9606 GN=VCP PE=1 SV=4	987.724	70	1039567657	32070456.97	1253971339	32190278.28	1026576664	24096602.84	1182852857	75948828.61	1081236787	82640247.09	1061829251	65051006.95	948300353.1	125087768.4	957019702.5	120553419.5	880387720.1	125113040.2	826169989.4	167502205	800191113.4	166767718.3	895484311.6	183040729.6	487940016.7	364133550.3	400643118.4	303158805.3	542685101.3	377215797.9
